守护者联盟
黑暗  Darkness.
沙沙 感谢前来  Sandy,thank you for coming.
好啦 好啦  I know,I know.
我叫大家前来  But I obviously wouldn't have called you all here
因为事关重大  unless it was serious.
妖怪来了 在北极  The Boogeyman was here! At the Pole!
夜魔？  Pitch?
夜魔？在这儿？  Pitch Black? Here?
是的  Yes.
地球仪被黑沙覆盖了  There was black sand covering the Globe.
什么意思 黑沙？  What do you mean,black sand?
还有黑影  And then a shadow!
等等 等等 你说的是你看到夜魔  Hold on,hold on. I thought you said you saw Pitch.
呃 不完全是那回事  Well,not exactly.
"不完全是那回事"？服了你了？  "Not exactly"? Can you believe this guy?
说的好 沙沙  Yeah. You said it,Sandy.
听着 他在酝酿着阴谋  Look,he's up to something very bad.
我能感觉到  I feel it
直觉  in my belly.
等等 等等 你的意思是 你把我们叫到这儿  Hang on,hang on. You mean to say you summoned me here
在复活节的前三天 就因为直觉？  three days before Easter because of your belly?
伙计 如果我在圣诞节前三天这么对你  Mate,if I did this to you three days before Christmas...
得了吧 兔子 复活节不是圣诞节  Please,Bunny. Easter is not Christmas.
又来这套  Here we go.
诺斯 我没时间整这些有的没的  North,I don't have time for this!
我还有两百万个蛋等着完成呢  I've still got two million eggs to finish up!
不管你怎么画 他们还是蛋  No matter how much you paint,is still egg.
听着 伙计 我搞的货容易腐烂  Look,mate,I'm dealing with perishables.
好吗？你有一整年可以准备呢  Right? You've got all year to prepare!
为什么你们这些兔子总是这么紧张？  Why are rabbits always so nervous?
那你为什么总是自吹自擂？  And why are you always such a blowhard?
牙牙 没看到我们正在辩论吗？  Tooth! Can't you see we're trying to argue?
抱歉 我们不是都只需要一年只工作一个晚上  Sorry. Not all of us get to work one night a year.
挺不挺我 沙沙？  Am I right,Sandy?
圣地亚哥 第二区  San Diego,sector 2.
得了吧 伙计 夜魔的黑暗时代早就过去了  Come on,mate. Pitch went out with the Dark Ages.
我们反复确认过了  We made sure of it.
我知道就是他 形势严峻啊  I know it was him. We have serious situation.
好吧 我的蛋蛋们也有个严峻的形势  Well,I've got a serious situation with some eggs.
月神  Man in Moon!
沙沙 怎么不早说？  Sandy,why didn't you say something?
好久不见 老朋友  It's been a long time,old friend.
有什么大事？  What is big news?
就是夜魔  It is Pitch.
曼尼 我们该怎么做？  Manny,what must we do?
哥几个 知道这代表着什么？  Guys,you know what this means?
他在选择一个新的守护者  He's choosing a new Guardian.
什么 为啥？  What? Why?
此事关重大啊 曼尼都觉得我们需要帮助  Must be big deal. Manny thinks we need help.
我们什么时候需要过帮助？  Since when do we need help?
到底会是谁呢？  I wonder who it's gonna be!
难道是小矮妖？  Maybe the Leprechaun?
千万别是土拨鼠 千万别是土拨鼠  Please not the Groundhog,please not the Groundhog.
杰克·福斯特  Jack Frost.
我收回上句 土拨鼠都比这好  I take it back. The Groundhog's fine.
只要他能来帮助保护孩子们 是不？  As long as he helps to protect the children. Right?
杰克·福斯特？他根本就不关心孩子们  Jack Frost? He doesn't care about children!
哎哟 他能干的也就是冻冻水管什么的  All right? All he does is freeze water pipes
偶尔客串下破坏我的寻蛋游戏  and mess with my egg hunts!
哎哟 他又没责任心 又自私  All right? He's an irresponsible,selfish...
守护者  Guardian.
杰克·福斯特能干很多事  Jack Frost is many things,
但绝对当不了守护者  but he is not a Guardian.
看吧 这才叫欢乐  Now that,that was fun.
嘿 风儿  Hey,wind!
带我回家  Take me home.
下雪吧  Snow day!
真冷啊  It's freezing!
吔  Yeah!
看起来很有趣啊 一本好书？  That looks interesting. Good book?
- 好了 - 吔  - All right! - Yeah!
- 下雪了 - 下雪了  - Snow day! - Snow day! Yeah.
不用谢  You're welcome.
兄弟们 等等我 你们周日去寻蛋吗？  Guys,wait up! Are you guys coming to the egg hunt Sunday?
当然 免费的糖果  Yeah! Free candy.
希望能在这么大的雪里找到蛋  I hope we can find the eggs with all this snow!
书上说他们找到了大脚怪的毛发样本  It says here that they found Bigfoot hair samples
还有DNA 在密歇根  and DNA in Michigan!
就快证实了  That's like super-close!
又来这套了  Here we go again.
你也看那视频了 克劳德 他的确存在  You saw the video too,Claude. He's out there.
你也这么说外星人  That's what you said about aliens.
还有复活节兔子  And the Easter Bunny!
复活节兔子真的存在  The Easter Bunny is real.
好吧 他当然真的存在  He's real all right.
真的烦人 真的易怒 真的自大  Real annoying,real grumpy and really full of himself.
得了吧 你们什么都信  Come on! You guys will believe anything.
复活节兔子 跳 跳 跳  Easter Bunny,hop,hop,hop!
妈妈 苏菲又摔倒了  Mom,Sophie fell again!
还好吗 苏菲？  You okay,Sgph?
杰米 帽子  Jamie,hat.
我们可不想让杰克·福斯特冻掉你的鼻子  We don't want Jack Frost nipping at your nose.
谁是杰克·福斯特？  Who's Jack Frost?
谁也不是 宝贝 只是个说法罢了  No one,honey. It's just an expression.
嘿  Hey!
"谁是杰克·福斯特？"  "Who's Jack Frost?"
好吧 谁扔的？  Okay,who threw that?
呵呵 反正不是大脚怪 小屁孩  Well,it wasn't Bigfoot,kiddo.
杰米·班尼特 不公平  Jamie Bennett,no fair!
你先打的我  You struck first!
人人有份  Free-for-all!
好啦 谁需要弹药？  All right,who needs ammo?
看招  Look at that!
糟了 我打到了小蛋糕了  Crud! I hit Cupcake!
- 她打到了小蛋糕了 - 你打到了小蛋糕了？  - She hit Cupcake. - You hit Cupcake?
- 是你干的？- 不是  - Did you throw that? - No.
不是我  It wasn't me!
小心地滑  A little slippery!
杰米 小心  Jamie,watch out!
- 前面是大街 - 快停下 有车  - That's the street! - Stop! There's traffic!
别担心 杰米 有我在 坚持住  Don't worry,Jamie. I got you. Hold on!
一切都会好的  It's gonna be all right!
跟上我 左转  Keep up with me,kid! Take a left!
嘿 慢点  Hey,slow down!
抓好 不 不 不 不要  Hold up. No,no,no,no.
那是杰米·班尼特？  Is that Jamie Bennett?
- 往这来 - 不 不要  - There you go. - No,no!
- 噢 天 - 吔  - Oh,my gosh! - Yeah!
- 貌似很严重 - 杰米 没事吧？  - That looks serious. - Jamie,are you all right?
兄弟们看到没？太棒了  Did you guys see that? It was amazing!
我跳了起来 然后我滑下  I did ajump and I slid under a...
酷 一颗牙  Cool! A tooth!
- 哥们 那可是钱 - 牙仙的钱  - Dude,that means cash! - Tooth fairy cash!
- 噢 不是吧 - 幸运鬼  - Oh,no! - You lucky bum!
我得把这个放到我的枕头下面  I got to put this under my pillow!
等等 喂 等等 等等  Oh,wait a minute. Come on. Hold on,hold on.
刚刚让你们乐呵的  What about all the fun we just had?
可不是牙仙 而是我  That wasn't the Tooth Fairy,that was me!
我的耳朵快冻掉了  My ears are freezing!
我得怎么干才能让你们多少关注我下？  What's a guy got to do to get a little attention around here?
那真是一大块冰  There was a patch of ice.
我真不知道是哪里来的  I don't understand how it got here.
复活节就要到了 (天都暖和了 )  I mean,Easter is around the corner!
太棒了  ...It was awesome!
我冲下这个小丘  So then I was flying down this hill
然后从这些汽车中穿过  and it was like... through these cars
雪橇撞到什么东西  and then the sled hit this thing
然后就飞上天了  and it was like way up in the air!
然后 嘭 一个沙发把我撞了  And then,bam,the sofa hit me...
哇哦  Wow!
你看 我的牙掉了  ...and see,my tooth came out!
好啦 你 牙放到你的枕头下了吗？  All right,you. Tooth under your pillow?
是的 我准备好了  Yeah,I'm ready.
别熬夜等牙仙了 杰米  Now don't stay up trying to see her,Jamie,
否则她不会来的  or she won't come.
但是我这次真的能看到 你想帮我吗 苏菲？  But I can do it this time! You want to help me,Soph?
我们可以藏起来看牙仙  We can hide and see the Tooth Fairy!
躲猫猫 躲猫猫 躲猫猫 躲猫猫  Hide,hide,hide,hide.
赶紧上床 小伙  Straight to bed now,mister.
妈  Mom.
如果我做错了什么  If there's something I'm doing wrong,
你能告诉我是什么么？  can you just tell me what it is?
因为我各种尝试  Because I've tried everything
但是大家都意识不到我的存在  and no one ever sees me.
你让我在这  You put me here.
最起码得告诉我  The least you can do is tell me...
告诉我原因  Tell me why.
很准时嘛 沙人  Right on time,Sandman.
我就知道我听到了独角兽的声音  I thought I heard the clippity-clop of a unicorn.
多可爱的梦  What an adorable dream!
看看她  And look at her.
宝贵的孩子  Precious child.
这么甜蜜  So sweet.
满怀这希望和好奇  So full of hope and wonder.
现在只缺少一件事了  Why,there's only one thing missing.
一丝恐怖  A touch of fear.
百试百灵  That never gets old.
恐惧吧 来把 来吧 这才对  Feel your fear. Come on. Come on,that's right.
这才是一个美妙的噩梦  Yes,what a pretty little Nightmare!
现在  Now,
你去告诉其他人 等待结束了  I want you to go tell the others the wait is over.
不要这么看着我 老朋友  Don't look at me like that,old friend.
你早就应该知道 这一天总会来临  You must have known this day would come.
我的噩梦终于准备好了  My Nightmares are finally ready.
你的守护者们呢？  Are your Guardians?
你好啊 伙计  Hello,mate.
好久不见了 上次相见是68年的暴风雪吧  Been a long time. Blizzard of '68 I believe.
复活节 是吧？  Easter Sunday,wasn't it?
兔子 你还记恨那件事啊？  Bunny! You're not still mad about that,are you?
当然  Yes.
不过这次来是因为别的事  But this is about something else.
兄弟们？  FeHas?
嘿  Hey!
放开我 搞什么  Put me down! What the...
我？  Me?
我可不走那 北极见  Not on your nelly. See you back at the Pole.
他来了  He's here.
安静  Quiet.
嘿 他在那  Hey! There he is!
杰克·福斯特  Jack Frost!
哇哦  Wow.
开什么玩笑  You got to be kidding me.
哎 哎  Hey,hey.
- 放下我 - 希望雪人们有好好待你  - Put me down. - I hope the yetis treated you well.
哦 是啊  Oh,yeah,
我特喜欢被塞到麻袋里 然后扔进魔法传送门里呢  I love being shoved in a sack and tossed through a magic portal.
嗯 很好 是我的主意  Oh,good. That was my idea!
你认识兔子 很明显  You know Bunny,obviously.
- 很明显 - 还有牙仙  - Obviously. - And the Tooth Fairy.
你好 杰克 久仰大名啊  Hello,Jack. I've heard a lot about you.
还有你的牙  And your teeth!
我的什么？  My What?
张开嘴 它们是不是真的跟别人说的一样白？  Open up! Are they really as white as they say?
真的  Yes!
它们真的跟初雪一样闪耀啊  They really do sparkle like freshly fallen snow!
姐妹们 有点骨气行不行  Girls,pull yourselves together!
别丢这身制服的脸  Let's not disgrace the uniform.
还有 沙人  And Sandman.
沙沙？  Sandy?
沙沙？醒醒  Sandy? Wake up!
喂 没人想告诉我为什么我在这儿吗？  Hey,ho,anyone want to tell me why I'm here?
还是不懂  That's not really helping,
但还是谢了 小矮子  but thanks,little man.
我一定做了什么惊天大坏事才让你们四个集齐  I must've done something really bad to get you four together.
我在淘气名单上？  Am I on the naughty list?
在淘气名单上？  On naughty list?
你遥遥领先  You hold the record.
但 没关系 我们不管了  But,no matter. We overlook.
现在我们一笔勾销  Now we are wiping clean the slate.
怎么回事？  How come?
问的好  Good question.
怎么回事？我来告诉你怎么回事  How come? I tell you how come!
因为现在你是守护者了  Because now you are Guardian!
你干什么？放开我  What are you doing? Get off of me!
这是最好的部分  This is the best part!
你们怎么知道我想当守护者的？  What makes you think I want to be a Guardian?
你当然想  Of course you do.
音乐响起  Music!
别音乐了  No music!
很荣幸 但  This is all very flattering,but,
你们不想要我的  you don't want me.
你们都努力工作 还有截止期限  You're all hard work and deadlines,
而我就扔扔雪球 乐呵乐呵  and I'm snowballs and fun times.
我当不了守护者  I'm not a Guardian.
对 我就是这么说的  Yeah. That's exactly what I said.
杰克 你不懂我们是干嘛的吧  Jack,I don't think you understand what it is we do.
每个灯代表着一个孩子  Each of those lights is a child.
相信童话的孩子  A child who believes.
是好 是坏 调皮 还是乖巧  And good or bad,naughty or nice,
我们都保护他们  we protect them.
牙牙 把手指从他嘴里拿出来  Tooth! Fingers out of mouth.
抱歉 它们真美  Sorry. They're beautiful.
好了 别推推搡搡的了  Okay. No more wishy-washy.
谁知道夜魔在那怀着什么鬼胎  Pitch is out there doing who knows what!
你是说 那个妖怪？  You mean the Boogeyman?
当然 当夜魔威胁到我们  Yes! When Pitch threatens us,
他也威胁到他们  he threatens them as well.
所以我们才挑选一个更合格的人啊  All the more reason to pick someone more qualified.
挑选？你认为我们有的选？  Pick? You think we pick?
不 你被指定的 就跟我们一样  No,you were chosen! Like we were all chosen.
被月神指定  By Man in Moon.
什么？  What?
昨晚 杰克 他选择了你  Last night,Jack,he chose you.
也许吧  Maybe.
月神 他跟你说的？  Man in the Moon... He talks to you?
听我说 你不能推辞 这是命运  You see,you cannot say no. It is destiny.
但为什么他不能亲自告诉我？  But why wouldn't he tell me that himself?
过了300多年 这就是他的答案？  After 300 years this is his answer?
跟你们一样 永远这么过下去  To spend eternity like you guys,
躲在什么藏身之处 想方设法去贿赂小屁孩？  cooped up in some hideout thinking of new ways to bribe kids?
不 不 太小儿科了 不是想冒犯你们  No,no. That's not for me! No offense.
这怎么就不是冒犯？  How is that not offensive?
你知道我怎么想？  You know what I think?
我想我们躲过一劫  I think we just dodged a bullet.
这小丑  I mean,what's this clown
怎么会知道如何给孩子们带来乐趣  know about bringing joy to children anyway.
听说过下雪节吗？  You ever hear of a snow day?
我知道不是什么臭蛋节 但孩子们喜欢我的杰作  I know it's no hard-boiled egg,but kids like what I do.
但没人知道是你做的 不是吗？  But none of them believe in you,do they?
你看 你是隐形的 小伙  You see,you're invisible,mate.
就跟你不存在一样  It's like you don't even exist.
兔子 够了  Bunny! Enough.
不 这个袋子鼠说的很对  No,the kangaroo's right.
什么？你叫我什么？  The what? What did you call me?
我可不是什么袋子鼠  I'm not a kangaroo,mate.
哦 我一直以为你是呢  Oh,and this whole time I thought you were.
如果你不是袋子鼠 那么你是啥？  If you're not a kangaroo,what are you?
我是兔子 复活节兔子  I'm a bunny. The Easter Bunny.
人们熟知我  People believe in me.
杰克 跟我走两步  Jack. Walk with me.
不是针对你 诺斯  It's nothing personal,North.
但你们干的这活 不是我的菜  But what you all do,it's just not my thing.
月神说这是你的菜  Man in Moon says it is your thing!
走着瞧  We will see.
慢点 行不？我早就想偷偷溜进来来看看这里了  Slow down,would you? I've been trying to bust in here for years.
- 我想好好看看 - 你说什么呢 偷偷溜进来？  - I want a good look. - What do you mean,bust in?
别担心 我一直过不了雪人那关  Don't worry. I never got past the yetis.
嘿 菲尔  Hey,Phil.
跟上 杰克 快跟上  Keep up,Jack,keep up!
我一直以为是精灵做的这些玩具  I always thought the elves made the toys.
骗小孩的  We just let them believe that.
很好 好好干  Very nice! Keep up good work.
我不喜欢 染成红的  I don't like it! Paint it red!
抓紧干 大伙  Step it up,everybody!
水果蛋糕？  Fruitcake?
算了 谢谢  No,thanks.
现在我们谈谈实事了  Now we get down to tacks of brass.
实事  Tacks of...
你到底是谁 杰克·福斯特？  Who are you,Jack Frost?
- 你的专长到底是什么？- 我的专长？  - What is your center? - My center?
如果月神选中你做守护者  If Man in Moon chose you to be a Guardian,
你肯定有什么特殊的地方  you must have something very special inside.
看  Here.
平时你对我的印象是这样的 对吧？  This is how you see me,no?
很壮实 让人畏惧  Very big,intimidating.
但是如果你或多或少的了解我下 来 打开看看  But if you get to know me a little... Well,go on.
你满满的欢乐？  You are down right jolly?
不只是欢乐  But not just jolly!
我还很神秘  I am also mysterious,
无惧  and fearless,
知心  and caring!
然后在我的内心？  And at my center?
是一个小小的木头北鼻  There's a tiny wooden baby.
仔细点看 看到什么了？  Look closer. What do you see?
眼镜很大  You have big eyes.
对 大眼 非常大  Yes! Big eyes. Very big.
因为它们充满了好奇  Because they are full of wonder.
这就是我的专长  That is my center.
天生的  It is what I was born with.
能够在细微之处见乾坤  Eyes that have always seen the wonder in everything!
能够看到树木里的圣光 空气中的魔法  Eyes that see lights in the trees and magic in the air.
这种好奇是我向世界所传授的  This wonder is what I put into the world!
也是孩子们所需要我保护的  And what I protect in children.
这才是我做守护者的原因  It is what makes me a Guardian.
这是我的专长  It is my center.
你的呢？  What is yours?
不知道  I don't know.
不好了 伙计们 牙仙宫殿有坏事发生了  We have a problem,mate. Trouble at the Tooth Palace.
诺斯 诺斯  North! North!
我跟你说我不跟你们一块行动了  I told you I'm not going with you guys!
怎么着我也不会爬进一个老的快散架的  There is no way I'm climbing into some rickety old...
雪橇？  ...sleigh?
好吧 走一遭 就这么着了  Okay. One ride,but that's it.
人人都爱雪橇  Everyone loves the sleigh!
兔子 等啥呢？  Bunny,what are you waiting for?
我觉得我的洞要更快点 也安全点  I think my tunnels might be faster,mate,and safer.
快到碗里来  Get in!
系好安全带  Buckle up!
他妈的安全带呢？  Where are the bloody seatbelts?
我就这么一说而已 准备好了？  That was just expression. Are we ready?
很好 出发 走  Good. Let's go! Clear!
让开道  Out of the way!
别介  Oh,no!
慢点 慢点  Slow down! Slow down!
希望你喜欢绕圈圈  I hope you like the loopty-loops.
我还希望你喜欢胡萝卜呢  I hope you like carrots.
走起  Here we go!
起飞  Blastoff I
嘿 兔子  Hey,Bunny.
欣赏下这风景  Check out this view.
诺斯 他  North! He's...
你还是很关心我啊  You do care.
翻滚吧 牛宝宝  Rack off,you bloody show pony!
抓紧了 兄弟们 我知道个近路  Hold on,everyone! I know a shortcut.
啊呀 我就知道我该走我的洞  Strewth,I knew I should've taken the tunnels.
到牙仙宫殿去  I say Tooth Palace.
啥？  What?
啥玩意？  What are they?
他们在绑架牙仙们  They're taking the tooth fairies!
嘿 小牙仙 没事吧？  Hey,little Baby Tooth,you okay?
这儿 接下手  Here,take over.
他们在偷牙齿  They're stealing the teeth!
杰克 小心  Jack,look out!
牙牙 你没事吧？  Tooth! Are you all right?
他们 他们绑架了我的仙子们  They... They took my fairies.
还有牙齿 全部都拿走了  And the teeth! All of them!
什么都没了  Everything is gone.
全部  Everything.
哦 观音菩萨 至少还有一个安然无恙  Oh,thank goodness. One of you is all right.
我得表个态 这太刺激了  I have to say,this is very,very exciting.
神奇四侠 集结  The Big Four,all in one place.
我就是一个小跟班  I'm a little starstruck.
喜欢我在地球仪上的作秀吗 诺斯？  Did you like my show on the Globe,North?
把你们整一起去了 是吧  Got you all together,didn't I?
夜魔 30秒内还我仙子们  Pitch! You have got 30 seconds to return my fairies!
否则？你在我枕头下放一分钱？  Or what? You'll stick a quarter under my pillow?
你这是搞什么啊？  Why are you doing this?
也许我想要你们所拥有的  Maybe I want what you have.
被崇奉  To be believed in.
也许我厌倦了藏在床底下了  Maybe I'm tired of hiding under beds!
也许你就属于那儿呢  Maybe that's where you belong!
舔你的蛋蛋去 死兔子  Go suck an egg,rabbit.
等下 杰克·福斯特也来了？  Hang on. Is that Jack Frost?
从什么时候开始你们成了好基友？  Since when are you all so chummy?
我们才不是  We're not.
好吧 中立  Good. A neutral party.
那就无视你了  Then I'm going to ignore you.
你现在一定习惯被无视了吧  But you must be used to that by now.
夜魔 你这个狗杂碎 滚过来  Pitch,you shadow-sneaking ratbag,come here!
嘿 悠着点 妹子 悠着点  Hey! Easy,girl,easy.
眼熟么 沙人？  Look familiar,Sandman?
我花了好久才会这戏法  Took me a while to perfect this little trick.
把美梦变噩梦  Turning dreams into Nightmares.
别紧张  Don't be nervous.
那只会更加激怒他们 他们能嗅到恐惧 你懂得  It only riles them up more. They smell fear,you know.
什么恐惧 对你的？  What fear? Of you?
从黑暗时代开始 就没人害怕过你了  No one's been afraid of you since the Dark Ages!
黑暗时代  The Dark Ages.
人人都担惊受怕 愁云惨淡  Everyone frightened. Miserable.
真是段好时光啊 支配着各种力量  Such happy times for me The power I wielded.
但月神  But then the Man in the Moon
让你们奇迹和圣光代替了我的恐惧  chose you to replace my fear with your wonder and light.
抚平了他们的心伤又给了他们希望  Lifting their hearts and giving them hope.
而我只被人赤果果的无视了  Meanwhile,everyone wrote me off as just a bad dream!
没必要担惊受怕  "There's nothing to be afraid of.
妖怪不存在  "There's no such thing as the Boogeyman!"
好吧 时过境迁了  Well,that's all about to change.
看好了  Look.
已经开始  It's happening already.
什么？  What is?
孩子们已经惊醒了 意识到  Children are waking up and realizing
牙仙们根本没来  the Tooth Fairy never came.
本是一桩小事 但对于一个孩子  I mean,such a little thing. But to a child...
发生什么了？  What's going on?
他们 他们不在相信我了  They... They don't believe in me anymore.
他们告诉过你没 杰克？  Didn't they tell you,Jack?
当守护者有诸多好处  It's great being a Guardian.
但内有玄机  But there's a catch.
如果够多的孩子不再相信  If enough kids stop believing,
你朋友们所保护的一切  everything your friends protect,
好奇心 希望和梦想 都会烟消云散  wonder,hopes and dreams,it all goes away.
一点点的 他们也是  And little by little,so do they.
没有圣诞节也没有复活节  No Christmas or Easter,
也没有夜里来的小仙子们  or little fairies that come in the night.
一切将不复存在 除了对黑暗的恐惧  There will be nothing but fear and darkness.
和对我的恐惧  And me.
该你们被无视了  It's your turn not to be believed in.
他跑了  He's gone.
好吧 我承认  Okay,all right,I admit it.
让你说中了  You were right about Pitch.
节哀顺变  I'm sorry about the fairies.
你真应该看看 她们负隅顽抗  You should have seen them. They put up such a fight.
为什么夜魔要拿走那些牙齿？  Why would Pitch take the teeth?
他想要的不是牙齿  It's not the teeth he wanted.
而是里面的记忆  It's the memories inside them.
什么意思？  What do you mean?
这是我们收集牙齿的原因 杰克  That's why we collect the teeth,Jack.
他们保存着儿时重要的回忆  They hold the most important memories of childhood.
我和我的仙子们保管着他们  My fairies and I watch over them.
当人们需要记起那些回忆的时候  And when someone needs to remember what's important,
我们帮助他们  we help them.
每个人的都在这儿  We had everyone's here.
你的也是  Yours,too.
我的回忆？  My memories?
当你还小的时候  From when you were young.
在成为杰克·福斯特之前  Before you became Jack Frost.
但我在成为杰克·福斯特之前 谁都不是啊  But I wasn't anyone before I was Jack Frost.
当然不是的  Of course you were.
我们被选中之前 都曾经是别人  We were all someone before we were chosen.
什么？  What?
你该看看当时的兔子  You should have seen Bunny.
警告过你别再提那话茬了  I told you never to mention that!
那晚 在那水塘 我只是 我觉得  The night at the pond,I just... I assumed...
你这是说  Are you saying...
你这是说那之前我曾经有过生活？  Are you saying I had a life before that,
有一个家庭？有一个家？  with a home and a family?
你真的什么都不记得了？  You really don't remember?
这么多年来 答案一直就在这  All these years,the answers were right here.
如果我找回我的记忆 我就知道我为何而来  If I find my memories,then I'll know why I'm here.
你得给我看看  You have to show me!
我不能 杰克 夜魔拿走了  I can't,Jack. Pitch has them.
那么我们得把它们拿回来  Then we have to get them back!
哦 不  Oh,no.
孩子们  The children!
我们太迟了  We're too late!
不 不行  No! No!
没有太迟了这回事  No such thing as too late!
等 等 等 等等  Wait,wait,wait,wait!
有主意了  Idea!
我们去收集牙齿  We will collect the teeth.
什么？  What?
我们去收集牙齿 孩子们还会相信你  We get teeth,children keep believing in you!
我们可是讨论成百上千万的孩子 分布在7个大陆上  We're talking seven continents and millions of kids!
得了吧  Give me break.
你知道我一晚上能送出多少玩具？  You know how many toys I deliver in one night?
一天我得藏多少蛋？  And eggs I hide in one day?
然后 杰克 如果你帮助我们  And,Jack,if you help us,
我们就能得到你的回忆  we will get you your memories.
算我一个  I'm in.
赶紧的 赶紧的  Quickly! Quickly!
速度点 兔子 我可领先5颗牙齿  Hop to it,rabbit! I'm five teeth ahead!
好吧 跟你说了 给我让道  Yeah,right. Look,I'd tell you to stay out of my way,
不过也没什么用  but,really,what's the point?
你根本就跟不上我  'Cause you won't be able to keep up anyway.
敢比试下吗？绒绒尾巴？  Is that a challenge,cottontail?
你不该跟兔子比赛跑的 伙计  You don't want to race a rabbit,mate.
比赛？这是比赛？  A race? Is it a race?
场面会很壮观的  This is going to be epic!
那有四个双尖牙 一个门牙在东边两个街区过去  Four bicuspids over there! An incisor two blocks east.
这是臼齿？到处都是啊  Is that a molar? They're everywhere!
你没事吧？  You Okay?
我没事 抱歉  I'm fine. Sorry.
好久不亲自动手干活了  It's been a really long time since I've been out in the field.
多久是好久？  How long is a long time?
440多年吧 差不多了  440 years,give or take.
双胞胎  Twins!
中奖了  Jackpo?
看起来你有点野啊 伙计？  Looks like you're a bit of a brumby,eh,mate?
易如反掌  Is piece of pie.
那是我的牙 沙沙 沙沙  That's my tooth! Sandy! Sandy!
放轻松  Take it easy there,champ.
它是我们的一员 欧洲分部的  He's one of us! Part of the European division.
哎呀  Crikey!
好哎  Yes!
不是吧  No!
哇哦 你们收集牙齿留下礼物  Wow! You guys collect teeth and leave gifts
的速度都赶上我的仙子们了  as fast as my fairies.
你们都留下礼物了吧？  You guys have been leaving gifts,right?
布鲁克林大桥24小时硬币自助洗衣店
这光  The lights.
他们为什么会出来活动？  Why aren't they going out?
他们在收集牙齿？  They're collecting the teeth?
安静点 否则我塞个枕头进去  Pipe down or I'll stuff a pillow with you!
再让你们乐呵一晚  Fine. Have your last hurrah.
到明天  For tomorrow,
你们悲催的收集啥都不是了  all your pathetic scrambling will be for nothing.
左前门牙  Left central incisor,
在雪橇事故中碰掉的  knocked out in a freak sledding accident.
你说是怎么发生的呢 杰克  I wonder how that could've happened,Jack.
孩子们 哈？  Kids,huh?
我最喜欢这部分了  This was always the part I liked most.
看着孩子们  Seeing the kids.
我为什么没一直这么做？  Why did I ever stop doing this?
亲手做的感觉总是不一样 是吧？  It's a little different up close,huh?
谢谢你帮忙 杰克  Thanks for being here,Jack.
真希望我知道你的回忆  I wish I'd known about your memory.
我就能帮你了  I could have helped you.
是 唉  Yeah,well...
先把照顾好你  Look,let's just get you taken care of.
然后再去"照顾"夜魔  Then it's Pitch's turn.
你在这儿啊  Here you are!
怎么了？笨蛋们？  What gives,slowpokes?
感觉如何 牙牙？  How you feeling,Toothy?
被相信  Believed in.
这才是我想听到的  That's what I want to hear.
