片名：功夫熊猫  KUNG FU PANDA
阿宝！你要去哪儿啊？  Po! Where are you going?
我去…翡翠宫  To the Jade Palace.
你忘了你的面条小车了  You're forgetting your noodle cart.
全山谷的人都会去，人手一碗面条可就赚了  The whole valley will be there and you'll sell noodles to all of them
又卖面条？  Selling noodles?
可爸爸，我在想，也许我…  But, Dad, I was thinking, maybe I...
嗯？ 我在想也许我…  Yeah? I was thinking maybe
还能卖点豆沙包，都要发霉了  could also sell the bean buns They're about to go bad
真是好儿子！  That's my boy!
我都说过那梦是个好兆头  I told you that dream was a sign.
是啊，美梦一场  Yeah. Glad I had it.
我是功夫大侠 我也是  I'm a kung fu warrior! Me too!
顶上有地方看 咱们走  There's spots at the top Let's go
加把劲！加把劲！  Come on. Come on!
就快到了  Almost there.
啥？  What?
噢，不！  No! Oh, no!
阿宝你真可怜 我们会给你带个纪念品  Sorry Po We'll bring you back a souvenir
不行，我得亲自留一个  No. I'll bring me back a souvenir.
今天意义非凡  It is an historic day.
不是吗，乌龟大师？  Isn't it, Master Oogway?
是啊，我还担心我活不到今天  Yes, and one I feared I would not live to see
你的徒弟都准备好了？  Are your students ready?
是的，乌龟大师  Yes, Master Oogway.
你得明白，老朋友  Know this, old friend.
不管我选中谁，都能给山谷带来安宁  Whomever I choose will not only bring peace to the valley
也能把安宁带给你  ...but also to you.
比武大会现在开始！  Let the tournament begin!
不，不，等等！  No, no, wait!
我来了，等等我  I'm coming! Wait, wait!
就来！  Yes!
嘿！快开门！  Hey! Open the door!
让我进去！  Let me in!
和平谷的居民们  Citizens of the Valley of Peace,
我很荣幸向你们介绍…娇虎！  it is my great honor to present to you Tigress!
灵蛇！仙鹤！金猴！螳螂！  Viper! Crane! Monkey! Mantis!
虎胆五侠！  The Furious Five!
啊，虎胆五侠！  Yeah, the Furious Five!
勇士们准备！  Warriors, prepare!
等等啊，我从小孔偷看吧  Wait No Oh peeky  hole
准备战斗 好啊  Ready for battle! Yeah
千条火舌  The Thousand Tongues of Fire.
瞧瞧啊  Look at that.
嘿！快让开  Hey! Get out of the way!
最后是娇虎大侠  And finally Master Tigress!
相信我乡亲们，你们还没见识真格的呢  And believe me citizens you have not seen anything yet
是没见到！  I know!
娇虎大侠，面对铁牛和死亡之斧  Master Tigress! Face Iron Ox and his Blades of Death
我感到神龙大侠就在我们中间  I sense the Dragon Warrior is among us.
和平谷的乡亲们  Citizens of the Valley of Peace,
乌龟大师现在要选出神龙大侠！  Master Oogway will now choose the Dragon Warrior!
啊，别呀，等等！  Oh, no! No, no, wait!
就这了  Yeah.
阿宝！  Po!
你这是在干嘛？  What are you doing?!
你看像在干嘛？！快停下！  What does it look like I'm doing?! Stop!
我要去看神龙大侠！  I'm going to see the Dragon Warrior!
可我不明白啊，你总算梦着面条了啊  But I don't understand You finally had the noodle dream!
我撒谎了，我没梦见什么面条  I lied I don't dream about noodles Dad
我爱……功……夫！  I love kung fu!
行了，儿子，咱们回去干活吧  Come on son Let's get back to work
好吧  OK.
回来！  Come back!
怎么回事？  What's going on?
这是在哪儿？  Where?
你指着我干什么？  What are you pointing?
噢，对不起  OK. Sorry.
我只是想来看看神龙大侠  I just wanted to see who the Dragon Warrior was
真有意思  How interesting.
大师，您指的是我吗？  Master, are you pointing at me?
是他 谁？  Him. Who?
你   我？  You.   Me?
上苍给我们送来了…神龙大侠！  The universe has brought us the Dragon Warrior!
什么？   什么？！  What?   What?!
什么？！   什么？！  What?!   What?!
停下，等等！谁让你们这么干的？  Stop, wait! Who told you to?
乌龟大师，等等  Master Oogway, wait.
那个虚胖的熊猫不可能解决咱们的问题  That flabby panda can't possibly be the answer to our problem
你本来要指娇虎的，这东西从天而降  You were about to point at Tigress and that thing fell in front of her!
这纯粹是个意外  That was just an accident!
从来就没有意外  There are no accidents.
请原谅师傅，我们辜负了您  Forgive us, Master. We have failed you.
不，要是到了早上那熊猫还不走  No. If the panda has not quit by morning
就是我辜负了你们  then I will have failed you.
等等，等等！我带来了…  Wait! Wait wait wait! I bring a message
功夫大师的信  ...from Master Shifu.
什么？！  What?!
“加强兵力？！”  "Double the guard?!"
“特别防守？！”  "Extra precautions?!"
“你的监狱也许不够坚固”  （画面上是中文）  "Your prison may not be adequate?!"
你敢怀疑我的监狱不安全？  You doubt my prison security?!
小的不敢  Absolutely not.
是师傅怀疑，我只是个送信的  Shifu does. I'm just the messenger.
那你替我送信给你那个师傅  I'll give you a message for your Master Shifu.
想从昌高监狱逃走是不可能的  Escape from Chorh  Gom prison is impossible!
很壮观吧？  Impressive, isn't it?
非常壮观  It's very impressive.
相当壮观  It's very impressive.
一个口进，一个口出  One way in, one way out.
一千名守卫，看守一名囚犯  One thousand guards and one prisoner.
是啊，只不过这个囚犯是…  Yes, except that prisoner...
大龙  ...is Tai Lung.
放我们下去  Take us down.
你要干什么？  What are you doing?
噢，我的天  Oh, my.
看吧，大龙  Behold Tai Lung.
我就在这儿等着好了  I'm just gonna wait right here.
没什么可担心的，非常安全  It's nothing to worry about It's perfectly safe
弩弓手！准备  Crossbows! At the ready!
弩弓手？  Crossbows?
硬汉，听说了吗？  Hey, tough guy, did you hear?
乌龟把神龙秘籍送人了，而且不是给你  Oogway's giving someone the Dragon  Scroll, and it's not gonna be you.
别惹他生气啊  Don't get him mad.
他又能怎么样？我已经让他动弹不得了  What's he gonna do about it? I've got him completely immobilized
我踩到小猫猫的尾巴了？  Did I step on the wittle kitty's tail?
行了，我看够了  I'm good. I've seen enough.
我去告诉师傅没什么可担心的  I'll tell Shifu he has nothing to worry about
是啊，瞎担心  No, he doesn't.
我会转告给他  I'll tell him that.
现在总可以走了吗？  Can we please go now?
神龙大侠！神龙大侠！  Dragon Warrior! Dragon Warrior!
等一下！  Wait a second!
我觉得好像有点误会，大伙都以为我是…  I think there's been a slight mistake Everyone seems to think that I'm
这是勇士圣殿！没搞错吧  The Sacred Hall of Warriors! No way!
瞧瞧这地方  Look at this place.
飞天犀牛大师的盔甲，还带着战斗伤痕！  Master Flying Rhino's armor with authentic battle damage!
这是英雄宝剑！  The Sword of Heroes!
据说绝对锋利，连看一眼都会被割伤…  Said to be so sharp you can cut yourself just by looking
隐形天命三叉戟！  The Invisible Trident of Destiny!
我只见过这宝画的冒牌货  I've only seen paintings of that painting
不会吧！  No!
低语武士的神奇灵坛  The legendary Urn of Whispering Warriors
听说装着整个天蜀大军的灵魂  Said to contain the souls of the entire Tenshu Army
有人吗  Hello.
参观结束了吧？  Have you finished sight  seeing?
对不起，我应该先来看你的  Sorry, I should have come to you first.
我的忍耐可是有限的  My patience is wearing thin.
哦，那个，你好像着急也去不了哪儿啊  Well I mean it's not like you were going anywhere
你转过身 好啊  Would you turn around? Sure.
你好啊  How's it going?
是怎么把五千个…是师傅！  How do you get 5000...Master Shifu!
有人…把它打坏了  Someone... broke that.
可我会弄好的，你有…  But I'll fix it. Do you have some...
胶水吗？  ...glue?
扎手了  A splinter.
你就是传说中的神龙大侠？  So you're the legendary Dragon Warrior?
我猜是吧 错！  I guess so. Wrong!
你不是神龙大侠，也永远别想成为神龙大侠  You are not the Dragon Warrior. You will never be the Dragon Warrior until
除非你掌握了这神龙秘籍  you have learned the secret of the Dragon Scroll.
那，我该怎么着？  So, how does this work?
你有没有梯子，或是蹦床什么的？  Do you have a ladder or a trampoline or?
你以为就这么简单？这样拱手把无限神功  You think it's that easy? That I'll just hand you the secret
白送给你？ 不，我…  to limitless power? No, I...
要先达到功夫的最高境界  One must first master the highest level of kung fu
可像你这样的显然不行  And that is impossible if that one is someone like you
像我这样的？  Someone like me?
是啊，瞧瞧你！屁股肥大，胳膊松软！  Yes, look at you! This fat butt! Flabby arms!
人家这块肉最怕疼  Those are sensitive in the flabby parts.
肚子大得离谱  And this ridiculous belly.
完全不注意个人卫生  And utter disregard  for personal hygiene.
你等等，说这话可没必要  Now, wait a minute That's uncalled for
离得这么近都能闻见你的口臭了  Don't stand that close I can smell your breath
听着，乌龟说我是…  Listen, Oogway said I was...
五溪劫指扣！别用五溪劫指扣！  The Wuxi Finger Hold Not the Wuxi Finger Hold!
你知道这招？  Oh, you know this hold?
五溪大师在秦朝发明的  Developed by Master Wuxi in the Third Dynasty
那你一定知道，我收起小指头会怎么样  Then you know what happens when I flex my pinky
别这样！你知道最难办的是什么吗？  No no! You know the hardest part of this?
最难办的是事后清理干净  The hardest part is cleaning up afterwards.
好了，好了，悠着点儿  OK, OK, take it easy.
给我听好了，熊猫  Now listen closely, panda.
乌龟选了你，可你从我这儿领教以后  Oogway may have picked you but when I'm through with you
我向你保证，你会希望他没选你！明白了？  I promise you you're going to wish he hadn't! Are we clear?
是的，明白了，明明白白  Yeah we're clear. We're so clear.
这就好  Good.
我都要等不及了  I can't wait to get started.
咱们开始吧 等等，等等  Let's begin. Wait, wait, wait.
说什么？  What?
现在？ 是啊，现在开始  Now? Yes, now.
除非乌龟大师错了，你不是神龙大侠  Unless the great Oogway was wrong and you are not the Dragon Warrior
噢，好吧  Oh, OK, well...
我可不认为那些我都做得到  I don't know if I can do all of those moves
不试试怎么知道呢？  Well, if we don't try we'll never know, will we?
啊，就是，咱们可以选个符合我这水平的吗？  Yeah it's just, maybe we can find something more suited to my level
你是什么水平？  What level is that?
反正我不是什么大师，那…  Well, I'm not a master, but...
咱们就从零开始，没水平  ...let's just start at zero. Level zero.
你上哪都找不到没水平的  No. There is no such thing as level zero
要不我从那个开始 那个？  Maybe I can start with that That?
那个是用来训练小孩的，或者天热了顶门的  We use that for training children and propping the door open when it's hot
可要是你坚持…  But if you insist...
虎胆五侠！  The Furious Five!
你们比玩具娃娃大多了，除了你，螳螂 你差不多一般大  You're bigger than your action figures Except you Mantis You're the same
熊猫露一手吧，让我们见识一下  Go ahead panda Show us what you can do
他们要看着吗？要不等他们去练功了我再试？  Are they gonna watch, or should I wait till they get back to work?
出拳吧！  Hit it.
我是说，我刚吃饱，还在消化  OK yeah I mean I just ate So I'm still digesting
可能我的功夫会…打点折扣  So my kung fu might not be as good as.later on
快出拳！  Just hit it.
好啊  All right.
你狂什么？别嚣张，因为我站这儿了  What you got? You got nothing 'cause I got it right here
找我兄弟们的茬？等着接我大招吧  You picking on my friends? Get ready to feel thunder
我用无影脚问候你  I'm coming at you with crazy feet.
来啊，我无影无踪，你没见过熊拳吧  Come on I'm a blur You've never seen bear style
你就见过坐盘式螳螂拳  You've only seen praying mantis.
或是什么猴拳  Or monkey style.
要么给你来个蛇拳的藏蛇穿山  Or I could come at you snickety  snake.
你快出拳！  Would you hit it!
好吧，好吧  All right. All right.
再试一次，多用点劲儿  Why don't you try again? A little harder
怎么样？  How's that?
（牙掉了）  (tooth)
疼啊！  That hurts.
赶走他比我想得还轻松  This will be easier than I thought.
晕得我都要吐了！  I'm feeling a little nauseous!
这可打疼了  Those are hard!
我的鸡鸡  My tenders.
表现如何？  How did I do?
总算见识没水平了  There is now a level zero.
我都无语了 可不是嘛  There's no words No denying that
乌龟大师怎么想的？  What was Master Oogway thinking?
这可怜的家伙把命都得搭上！  The poor guy's gonna get himself killed.
他好强大！  He is so mighty!
神龙大侠，坐着火球从天而降  The Dragon Warrior fell out of the sky on a ball of fire!
他走一走，地也抖三抖  When he walks, the very ground shakes!
我还以为乌龟大师会选个真懂功夫的人  One would think Master Oogway would choose someone who knew kung fu
怎么着也该够得着脚趾头吧  Yeah, or could at least touch his toes.
能看着就不错了  Or even see his toes.
好的  OK.
这下爽了  Great.
你好，你醒了  Hi. You're up.
被你吵醒的  I am now.
我刚才…  I was just...
这一天真够劲  Some day, huh?
功夫那套可是费劲活，你二头肌酸吗？  That kung fu stuff is hard work right? Are your biceps sore?
我这一天可是又难熬又失望，所以…  I've had a long and rather disappointing day so...
是啊，我得早点睡了  Yeah I should probably get to sleep now
是啊，当然 好的，谢了  Yeah yeah yeah Of course OK thanks.
可老兄，我是你们的超级粉丝  It's just.Man, I'm such a big fan!
你们在泣河之战表现神勇  You guys were amazing at the Battle of Weeping River
以一敌千，还毫不惧怕，你们就…  Outnumbered a thousand to one but you didn't stop You just
不好意思啊  Sorry about that.
喂，你不属于这里  Look, you don't belong here.
我知道，我知道，你说得对  I know. I know. You're right.
我什么都没有…我只是…  I don't have... I just...
我这辈子就梦想着…  My whole life I dreamed of...
不，我的意思是你不属于这儿 这个房间，这是我的房间  No I meant you don't belong here I mean in this room. This is my room
仙鹤房地产  Property of Crane.
啊，对，是啊  OK. Right, right.
那么你要睡了  So, you want to get to sleep.
是啊 我耽误你睡觉了  Yeah I'm keeping you up
咱们明天还有大事儿要做  We got big things tomorrow.
好了，你棒极了，就说这些，再见  All right You're awesome Last thing I'm gonna say. Bye  bye
说什么呢？  What was that?
我什么都没说  I didn't say anything.
哦，好，晚安  OK. All right. Good night.
睡个好觉  Sleep well.
刚才可有点尴尬  That seemed a little awkward.
娇虎大侠！我没想吵醒你  Master Tigress! I didn't mean to wake you
你不属于这里 是啊，当然  You don't belong here Yeah of course
这是你的房间  This is your room.
我是说你不属于翡翠宫  I mean, you don't belong in the Jade Palace
你是武林的耻辱  You're a disgrace to kung fu and if you have
如果你还尊重我们，尊重武林  any respect for who we are and what we do
天亮之前趁早离开  you will be gone by morning.
超级粉丝哦！  Big fan!
我看你自己找到了这棵天智圣桃树  I see you have found the Sacred Peach Tree of Heavenly Wisdom
这是圣桃树？对不起，我还以为是普通的…桃树  Is that what this is? Sorry. I thought it was just a regular peach tree
我明白，你心情烦躁就开吃解闷  I understand You eat when you are upset
烦躁？我没烦啊，是什么让你这么想  Upset? I'm not upset What makes you think I'm upset
你到底在烦些什么？  So why are you so upset?
我可能是功夫史上最烂  I probably sucked more today than anyone in the history of kung fu
中国史上最烂，最烂史上最烂的！  In the history of China In the history of sucking!
有可能  Probably.
而那五个，天哪，他们都快恨死我了  And the Five! Man you should've seen them! They totally hate me
是恨死了  Totally.
师傅究竟怎么样，才能把我变成神龙大侠？  How is Shifu ever going to turn me into the Dragon Warrior?
我又不像那五个  I mean, I'm not like the Five.
我没利爪，也没翅膀，或是毒液  I've got no claws, no wings, no venom.
就连螳螂都有那些…东东  Even Mantis has those... thingies.
我看我还是退出算了，回家做面条去  Maybe I should just quit and go back to making noodles
退出，不退出  Quit, don't quit.
做面条，不做面条  Noodles, don't noodles.
你太犹豫不决，又瞻前顾后  You are too concerned with what was and what will be
有句话说的好：  There's a saying:
昨日已逝  Yesterday is history,
明日未知  tomorrow is a mystery,
而今日为金  but today is a gift.
这就是为什么叫做“今”日  That is why it is called the present.
噢，不！ 怎么了？！  Oh no! What's happening?!
快去战斗岗位就位！走！走！走！  To your battle stations! Go! Go! Go!
发射弩弓！  Fire crossbows!
发射  Fire!
发射  Fire!
大龙越狱了，我去告诉师傅  Tai Lung is free! I must warn Shifu.
谁也走不了！他也一样 放开我呀  Not going anywhere! Neither is he! Let go of me!
拉起来！  Bring it up!
等等，降下来！  Wait! Bring it back!
他从这儿上来了 他跑不远的，弓箭手！  He's coming this way! He won't get far. Archers!
我们死定了，这下死翘翘了  We're dead. So very, very dead.
还没死呢！发射！  Not yet we're not. Now!
能逃命了吗？ 是啊…  Can we run now? Yes.
（这是本来镶在犀牛司令鼻子上的）  (Commander is killed)
很高兴师傅派你来了  I'm glad Shifu sent you.
我还以为他把我忘了呢  I was beginning to think I'd been forgotten
飞回去告诉他们  Fly back there and tell them...
真正的神龙大侠回家了  ...the real Dragon Warrior is coming home
早上好，师傅！  Good morning, Master!
熊猫！  Panda!
熊猫！  Panda!
快起来！  Wake up!
他放弃了  He's quit.
熊猫走了我们怎么办？谁来替神龙大侠啊？  What do we do now, with the panda gone? Who will be the Dragon Warrior?
咱们只要恢复训练，等时候到了  All we can do is resume our training and trust that in time
神龙大侠自会出来  the true Dragon Warrior will be revealed
你在这儿干什么？  What are you doing here?!
早上好，师傅！  Hi! Good morning, Master!
我想我可以先热热身  I thought I'd warm up a little.
你卡住了  You're stuck.
卡住？不可能，啥？卡住？  Stuck? Nah. What? Stuck?
这只是我的一个…是啊，我卡住了  Nah. This is one of my..Yeah, I'm stuck
帮帮他 天哪  Help him. Oh, dear.
数到三吧，一，二…  Maybe on three. One, two...
三  ...three.
谢谢 不用谢了  Thank you Don't mention it.
真的，非常感谢… 打住  No, really, I appreciate... Ever.
你真以为能一夜之间就学会大劈叉？  You actually thought you could learn to do a full split in one night?
柔韧性训练就要几年时间  It takes years to develop one's flexibility!
还要更多年才能用于实战  And years longer to apply it in combat!
把那放下！  Put that down!
我们这儿收集的纪念品只有伤筋断骨  The only souvenirs we collect here are bloody knuckles and broken bones.
哦也！太帅了！  Yeah! Excellent.
咱们开始吧  Let's get started.
准备好了？ 我天生就准…  Are you ready? I was born re...
抱歉，老兄，我还以为你说准备好了  I'm sorry brother I thought you said you were ready
这可太过瘾了！咱们再来一次！  That was awesome! Let's go again!
我对你手下留情的，熊猫，可现在不会了  I've been taking it easy on you panda But no more
你现在的对手轮到我了  Your next opponent will be me.
好啊！咱们来吧  All right! Yeah, let's go!
往前一步  Step forth.
想要真正获胜，就要攻击你对手的弱点  The true path to victory is to find your opponent's weakness...
让他因此痛不欲生  ...and make him suffer for it.
噢，爽！  Oh, yeah!
要借力打力  To take his strength and use it against him...
直到他被击倒…  ...until he finally falls...
或放弃  ...or quits.
一个真正的勇士绝不放弃  A real warrior never quits.
放心吧，师傅，我绝不放弃  Don't worry, Master. I will never quit!
他要是聪明，就不会爬上来了  If he's smart he won't come back up those steps
他会上来的  But he will.
他不会放弃的，是吗？  He's not going to quit, is he?
我告诉你，他不会放弃翻滚的  He's not going to quit bouncing I'll tell you that
不是说针灸能让我好受些吗  I thought you said acupuncture would make me feel better
听我的没错  Trust me, it will.
就是不太容易找准穴位，有这么多…  It's just not easy finding the right nerve points under all this...
肥肉？ 毛皮，我想要说的是毛皮  Fat? Fur I was going to say fur
才怪  Sure you were.
咱们不能以大小论英雄，你看我  Who am I to judge a warrior based on his size? Look at me
我在这儿呢  I'm over here.
你还是再看看这个吧  Maybe you should look at this again.
噢，对啊  Oh, OK.
停手，停下  Stop it. Stop!
我明白师傅这是在点拨我  I know Master Shifu is trying to inspire me and all...
可要是不了解他，我会以为他想赶我走  but if I didn't know better I'd say he was trying to get rid of me
我知道他看起来铁石心肠  I know he can seem kind of heartless...
可他以前不是这样  ...but he wasn't always like that.
据传说  According to legend,
曾经的师傅总是面带微笑  there was once a time when Master Shifu actually used to smile
瞎说！ 真的  No! Yes.
不过是在那事儿以前  But that was before.
什么以前？  Before what?
是大龙的事儿  Before Tai Lung.
我们其实不该去谈论他  We're not really supposed to talk about him
如果熊猫要留在这儿，他应该知道  Well if he's going to stay here he should know
伙计们，我知道大龙  Guys, guys, I know about Tai Lung.
他是个弟子，第一个掌握了千卷功夫秘籍  He was a student. The first ever to master the thousand scrolls of kung fu
后来他心眼坏了，现在关在大牢里  And then he turned bad and now he's in jail
他不只是个弟子  He wasn'tjust a student.
他刚生下来，就被师傅捡到了  Shifu found him as a cub...
师傅把他当儿子养大  ...and he raised him as his son.
当大龙显示出功夫天份后  And when the boy showed  talent in kung fu...
师傅耐心教导他  ...Shifu trained him.
他相信大龙，告诉他注定会成大器  He believed in him. He told him he was destined for greatness
而大龙心比天高  It was never enough for Tai Lung.
他想要神龙秘籍  He wanted the Dragon Scroll.
可乌龟看出了他内心的阴暗，拒绝了他  But Oogway saw darkness in his heart and refused
暴怒之下，大龙重创和平谷  Outraged Tai Lung laid waste to the valley
他想要抢走秘籍  He tried to take the scroll by force.
师傅也不得不亲自摧毁自己的心血  And Shifu had to destroy what he had created
可又怎么忍心  But how could he?
师傅从没像爱大龙那样爱过任何人  Shifu loved Tai Lung like he had never loved anyone before
以后也一样  Or since.
现在他终于有机会弥补过错  And now he has a chance to make things right
来训练出真正的神龙大侠  To train the true Dragon Warrior.
碰着你这个活宝  And he's stuck with you.
一个大胖熊猫，把训练当儿戏  A big fat panda who treats it like a joke
我受够了！  That is it!
等等，我的错！我不小心扎到面部神经了  Wait! My fault! I accidentally tweaked his facial nerve
可能碰巧还把心跳弄停了  And may have also stopped his heart.
静下心来  Inner peace.
静下心来  Inner peace.
静下…  Inner...
静下心来  Inner peace.
在那儿扇巴掌的人给我安静！  Would whoever is making that flapping sound quiet down?!
静下…  Inner...
噢，是小善啊  Oh, Zeng.
正是时候  Excellent.
正好能听些好消息  I could use some good news right now.
大师，大师！  Master! Master!
我有个…是…很坏的消息  I have... It's...It's very bad news
师傅  Shifu.
消息就是消息，岂有好坏十分？  There is just news There is no good or bad
大师，你的预感成真了  Master, your vision Your vision was right
大龙越狱了，他就要杀回来了  Tai Lung has broken out of prison He's on his way
还真是坏消息…  That is bad news...
要是你不相信神龙大侠能够阻止的话  if you do not believe that the Dragon Warrior can stop him.
那个熊猫？大师，他才不是神龙大侠  The panda? Master that panda is not the Dragon Warrior
他本来就不该出现，那是个意外  He wasn't meant to be here! It was an accident
从来就没有意外  There are no accidents.
是啊，你之前说过…  Yes, I know. You've said that already.
两遍了 那也不是意外  Twice Well that was no accident either
三遍了  Thrice.
我的老朋友  My old friend,
熊猫永远不能完成他的使命，你也一样  the panda will never fulfill his destiny, nor you yours
除非你能抛开控制一切的幻想  until you let go of the illusion of control
幻想？  Illusion?
是啊，看看这桃树，师傅  Yes. Look at this tree, Shifu.
我不能随心所欲催它开花  I cannot make it blossom when it suits me
也不能让它提前结出果实  nor make it bear fruit before its time.
可有些事情是我们能控制的  But there are things we can control.
我能控制果子什么时候落地  I can control when the fruit will fall.
我还能控制…  And I can control...
在哪种下种子  ...where to plant the seed.
这可不是幻想，大师  That is no illusion, Master.
是啊  Yes.
可不论你怎么做  But no matter what you do
这颗种子都会长成桃树  that seed will grow to be a peach tree.
你可能想要苹果或桔子 可它只会长成桃子  You may wish for an apple or an orange but you will get a peach
可一个桃子打不赢大龙！  But a peach cannot defeat Tai Lung!
