汽车总动员3
好了 我们开始吧  Okay. Here we go.
后面的视野怎么样 鲍比  How's the view back there Bobby?
你最好不要哔哔  Well, you would better not bleep.
否则 我一下就超过你  Or, I'll blow right past you.
最后一圈了 麦坤领先  The flap is out it's the final stretch, McQueen in the lead.
好了 让我看看你有什么能耐  Okay, let's see what you got.
是杰克逊风暴赢了  Oh, it's Jackson Storm for the win.
大写的郁闷  A huge upset.
闪电和鲍比甚至都没看到他追上来  Even Lightning or Bobby never saw him coming.
启动快只是一个方面  It's one thing to start fast.
可我们还没见过任何人  But we haven't seen anyone
以那种速度和动力冲线  cross the line with that kind of speed and power.
自从年轻的闪电麦坤露面以来  Since young Lightning McQueen first arrived on the scene.
鲍比 那是谁    那是…  Hey Bobby, who is that?    That's...
杰克逊风暴    没错 他是个新人  Jackson Storm    Yeah, he's one of the rookies.
谢谢 我很感激 非常感谢 谢谢  Thank you, I appreciate it. Thank you very much. Thank you.
杰克逊风暴 对吗 今天表现得不错  Hey, Jackson Storm, right? Great race today.
谢谢 麦坤先生  Wow, thank you Mr. McQueen.
你不知道对我来说  You have no idea what a pleasure
终于打败你有多高兴  it is for me to finally beat you.
谢谢  Oh! Thanks...
等等  wait.
等一下 你刚是说见到还是打败  Hang on..Did you say meet or beat?
我想你听清了  I think you heard me.
什么    麦坤在这儿  What...    McQueen over here.
风暴 我们能拍几张照片吗  Storm, can we get some pictures?
可以 可以 拍吧 来拍吧  Yeah yeah, come on. Let's get a picture.
知道吗 想拍多少拍多少  You know what. You can get a ton of pictures.
因为这里这位冠军  Because the champ here
是我多年来的榜样  has been a role model of mine for years now.
我是说很多年  And I mean a lot of years.
是的 我喜欢这家伙  Right, I love this guy.
我想我刚碰了个神经病  I think I touched a nerve.
欢迎回到路霸点评  Welcome back to chicks picks and Chick Hicks.
我是主持人活塞杯前任及永远的冠军路霸  I'm your host former and forever Piston Cup champion Chick Hicks.
新消息  This just in.
新手杰克逊风暴 打破了闪电麦坤的传奇  Rookie Jackson Storm slaps the proverbial door on Lightning McQueen.
就是我自己打败闪电麦坤都没这么开心  Oh, I couldn't have enjoyed it more if I'd beaten McQueen myself.
等等 我打败过他呢  Oh, wait. I have.
别说我了 还是给大家讲讲这个故事  Now enough about me. Here to tell you how it happened.
计算专家娜塔莉·塞尔坦小姐  Is professional number cruncher Miss Natalie Certain.
很荣幸来到这里  It is pleasure to be here Chick
其实我更喜欢被称为统计分析师  and actually I prefer the term statistical analyst.
好的 所以这个新人杰克逊风暴  Right, so who is this mysterious newcomer
有什么秘籍 为什么这么快呢  Jackson Storm and why is he so darn fast.
好好研究一下数据就会发现并不神秘  It's no mystery if you study the data Mr. Hicks.
杰克逊风暴  Jackson's Storm is part
采用了下一代高科技赛车的新技术  of the next generation of high   tech Racers.
和那些明日黄花不一样  Unlike the veterans of yesterday.
这样的老家伙吗  Oh what, old   timers like this guy ha ha...
是的  Right.
风暴的最高速是数字完成的  Storm achieves his top speeds by exploiting the numbers.
也就是赛车数据 胎压和下压力等等  I refer of course to racing data: Tire pressure, downforce.
质量分布 气体力学  Weight distribution, aerodynamics
是像风暴这样的下一代赛车的秘密武器  and nextgen's like Storm are taking advantage
赛车世界正在剧变  the racing world is changing
而且是变得更好  And for the better if it
如果我的老朋友闪电都下台了的话  means my old pal Lightning is down for the count
对吧  am I right Certain?
如果说我能确定什么的话  Well, if I'm Certain of anything Chick
那就是这个赛季肯定要更有趣了  it's that this season is about to get even more interesting.
我告诉你 达雷尔  I'll tell you what Darrell
杰克逊风暴绝对给观众留下了深刻印象  Jackson Storm has certainly made an impact
现在赛场上又增加了六台新车  we've got six more next generation rookies in the field
而且是六台老车让位的结果  with six veterans fired to clear the way.
早上好 冠军 今天好吗  Good morning champ. How's our living legend today?
还好 谢谢 要是…  Still very much alive. Thank you. Now, I would appreciate if...
真不敢相信我居然  I can't believe I get to race
能在闪电麦坤的告别赛上和他较量  the Lightning McQueen in his farewell season.
你说什么呢  What are you talking about.
怎么 绿灯了 祝好运 伙计  What... The green flag... Good luck out there champ.
你会需要的  You are gonna need it
风暴和下一代赛车更高效的一个原因是  One reason Storm and the next gens are more efficient
他们每一圈都能保持在最佳路线上  their ability to hold the optimum racing line every single lap
新手第三场胜利  Win number 3 for the rookie sensation.
风暴可以说独树一帜 其中一个原因是  Storms in a class of his own and a big reason for that
最新最高端模拟器训练  training on the newest cutting   edge simulators.
这机器创造的赛车体验真实到  These machines create a virtual racing experience so real,
赛车手都不用再实地训练了  racers never even have to go outside.
风暴的实力简直前无古人  Storms' ability to hold that line is like nothing we've ever seen.
四圈了 真的假的啊  Four in a row... Are you kidding me
阻力系数降低百分之二  Two percent lower drag coefficient
结束的也十分漂亮  What a finish!!
下压力提高5%  5% increase in downforce
幸运7  Lucky number seven
最高速度增加1.2%  1.2 % higher top speed.
活塞杯冠军路霸  Piston Cup winner Chick Hicks
和风暴一般席卷赛场的  here with the racer taking the circuit by Storm
杰克逊风暴 再次轻松赢过老伙计  Jackson Storm. Another easy win over old katchow,
或者说 吊车尾  or should I say the kaboos
因为他总是在后面 对吗  because he's always in the back. Am I right?
不不不 路霸 麦坤个很厉害的冠军  No, no, no, Chick, McQueen is a crafty veteran champ,
是赛车界的知名前辈  he's the elder statesman of the sport you know
只有我才能打败他  takes everything I got to beat him.
真的假的啊  Oh, you gotta be kidding me
怎么改进才能让麦坤重新成为霸主  What changes are you gonna make to get McQueen back on top
麦坤有新训练模式吗    他要退休了吗  will McQueen try new training method?    Is he prepare to retire?
各位 别太夸张 只是点小挫折  Guys let's not overreact.. It's just a slump..
下周我们就能打败他  We'll get him next week
好了 就到这里吧  okay that's enough
都不对  No comment
卡尔·韦瑟斯的退休做评价吗  not even about Cal Weathers retiring!!
等等 什么  Wait..What!!
卡尔·韦瑟斯 他要金盆洗手了  Cal Weathers!! He's hanging up his light   years
不 无可奉告  no, no comment on that either
卡尔  hey, Cal
退休 怎么回事啊  hey... retirement!! What's going on!!
有次我问我叔叔  You know, I asked my uncle
该怎么判断该什么时候退休  once how I'd know when it was time to stop
你知道他怎么说  you know what he said
年轻人会让你知道  the youngsters will tell you
我们有过很棒的比赛时光  we had some good times together
这将是我最怀念的事  I'm gonna Miss that the most I think.
是啊  Yeah.
路霸 更多改进在后面  More changes ahead Chick
每周都能见到老旧赛车退休  every week we've seen veteran
就像今晚的卡尔·韦瑟斯  Racers either retire like Cal Weathers tonight
或者被开除 以便  or fired to make room for
为这些更快的赛车腾位子 还没完  these younger faster Racers and it's not over yet
大家好 车迷们 欢迎来到  hello racing fan welcome to the Los Angeles 500
活塞杯赛季洛杉矶五百强决赛  final race of the Piston Cup season.
我能做到的  I can do this
我为你们赛车快十年了啊  I raced for you guys almost 10 years.
抱歉 布里克  Sorry Brick
我已经决定了  my mind's made up
我要把你的号码给别人  I'm giving your number to someone new
我去年还赢了两次呢  hey! I had two win last year
老规矩已经变了  old sport's changing..
鲍比  Hey Bobby
你知道布里克怎么了吗  do you know what's happening with Brick...
你 等等 你不是鲍比  You.. wait! You're not Bobby
我叫丹尼 哥们  my name is Danny bro
哥们 你的朋友都去哪了  hey champ, where would all your friends go
最后一次检查轮胎  a final check of his tires
风暴已稳居首发位置  as Storm settles into the pole position
我们来看看这个赛季最棒的一场比赛吧  let's see in this season's one of the great race
就是这样 哥们  that's it buddy
还有40圈 目前领跑的是  40 laps to go and race leader
杰克逊风暴 他正奋力驶向维修站  Jackson Storm is making his way on the pit road
麦坤紧随其后  with McQueen on his tail
一次不错的换胎也许就能  a good stop here could mean the difference between
分出胜负  victory and defeat
快快快 再快点啊吉多 快  come on, come on, come on, faster Guido. Come on!
我得在他之前就上路  I gotta go back out there before he does.
吉多 赶快  Guido... hurry up
麦坤完成了好一次换胎  what a pit   stop by McQueen
他领跑了 他能坚持住吗  man, he just got the lead can he hold on it
麦坤 你还好吗  hey McQueen, you alright?
听着 别担心 哥们  Listen, don't you worry pal.
你跑得不错  You had a good run
享受你的退休之战吧  enjoy your retirement.
风暴再度领跑  Storm takes back the lead
难以置信 麦坤在落后  unbelievable! McQueen is fading
麦坤在落后  McQueen is fading
迅速落后  fading fast.
不不不  No... no... no... no!
不  No!
欢迎回到活塞杯评论  Welcome back to Piston Cup talks
连日来我们除了评论什么也不做  around   the   clock where we do nothing but talk racing
四个月后
来看看  let's get to it
当然要先说说闪电麦坤  starting of course with Lightning McQueen
本赛季还有两周就要开赛  the season start just two weeks away
目前尚无官方声明  there's still no official announcement
但95号创下了他的史上最糟记录  but with number 95 coming off his worst year on record
可别杀了传话人 乡亲们  don't shoot the messenger here folks
我认为可以推测  I think it's safe to assume
闪电麦坤的比赛生涯已经终结  that Lightning McQueen's racing days are over
同时 杰克逊风暴似乎越发迅速了  meanwhile Jackson Storm is looking even faster than.
6号和12号  The number six and the number 12 cars
还在争夺首位  are still fighting it out to the lead
等等 他来了  but wait, here he comes
超凡哈德森·大黄蜂来敲门了  it's the fabulous Hudson hornet knocking at their door
今天他的袖子里藏了什么  what's he got up his sleeve today
来了 一次精彩的转弯 他超过了他们  and there it is with one incredible move he has passed them
大黄蜂遥遥领先  the hornet takes this decisive lead
把众车远远甩在身后  he's left the pack behind
他的机工长斯莫基非常满意  his crew chief smokey is loving it..
难以置信  It's unbelievable
不 出问题了  oh no, this is trouble
哈德森·大黄蜂失去了控制  the Hudson hornet has lost control
哈德森·大黄蜂失去了控制  the Hudson hornet has lost control
本该是个欢庆场面  what should have been a scene
却变成了悲剧  of jubilation has turned tragic here today folks
我们等着哈德森·大黄蜂的进一步消息  we await news on the Hudson hornets condition
经历了此重创  after such a devastating
我们只能希望今天的比赛  crash we can only hope that this race today
不会成为他的最后一场  wasn't his last
我们终于被重新拼凑了起来  when I finally got put together and went back
回去期待着热烈欢迎 你知道他们怎么说的吗  expecting a big welcome, you know what they said?
你已经是历史了  You are history, moved
挪到下一个新手旁边站好  right on to the next rookie standing in line
我还有很多本事  there was a lot left in me.
我从来没有机会展示  I never got a chance to show
车祸 哈德森·大黄蜂退出赛季  crash! The Hudson hornet is out for the season
贴纸  hey, stickers
嘿 莎  hey, sal
你感觉如何  how are you feeling?
挺好的  Yeah great
非常好  really really great
你又在想医生的事了吗  you have been thinking about Doc again?
是的  Yeah
是他们告诉他 他不行了  you know they told him when he was done.
不是他决定的  He didn't decide.
我不希望医生的遭遇  I don't want what happened to Doc
发生在我身上  to happen to me
但那并没有发生  but that hasn't happened
对 但我没法出去  no, but I can't go out on the
走上赛道做以前的事了 不行的  track and do the same old thing. It won't work
那就改变一下 试试新东西  then change it up. Try something new.
我不知道 莎莉  I don't know Sally
别怕失败  don't fear failure
要怕没有机会  be afraid of not having the chance
你有机会 医生当年没有  you have the chance. Doc didn't
你要么抓住机会 要么就继续这样  and you can either take it or you can do what you've been doing
连续几个月待在这里  sitting in here for month
对了 我喜欢你对这里的改造  and by the way I love what you've done with the place
怪兽电影灯 麝香味的空气清新剂  I mean the monster movie Lightning and the musky air freshener
别让别人告诉你你不能比赛  and don't let anyone tell you you're not working that primer
因为我从没发现你比现在更有魅力  because wow, I have never found you more attractive
我已经待在这臭气里好几分钟了  and now that I've been in here for a couple of minutes the stench
我都有点习惯了  I'm getting kind of used to it
好吧 莎 我明白  okay sal, I get it. I get it.
我想你 闪电 我们都想你  I Miss you Lightning. We all do
试试新东西  try something new, huh
成功了吗 莎莉小姐  Hey, did it work, Miss Sally?
你有用你律师般的说服力说服他吗  Did you set him straight with your lawyerly powers of persuasion?
他准备好开始训练了吗  Is he ready to start training?
臭贴纸  Well, stinky stickers.
我准备好了 板牙  Yes Mater, I am.
我的命运自己把握  I decide when I'm done.
我一直希望你能这么说  I was hoping you'd say that.
好 但我有个主意  Okay, but I got an idea
我需要跟锈锈和灰灰商量 好吗  and I'm gonna need to talk to Rusty and Dusty, all right?
我去给他们打电话 给他们打电话  Oh, I'll get them on the horn, yeah get them on the horn.
糟糕 要打喷嚏了  Oops, oh no, got a sneeze
该死 憋回去了  Dadgum, I lost it.
回见  Hey, I will see you through.
打出来了  I found it...
看路  Hey, watch your steps.
环形车道  with a circular driveway.
你们应该到这里来  You boys need to get your Rusty tails down here.
我以你的名字创造出了一种酒  I created a drink in your honor.
除锈灵保险杠酒  Yeah, the rust  eze medicated bumper balm
比板牙卖得还快  it goes down faster than El Mater following a bag off.
锈锈和灰灰 伙计们  Rusty and Dusty, hey guys.
你来了 很高兴见到你 闪电  Hey there he is, good to see you, Lightning.
谢谢 伙计们  Thanks guys.
大家都在这里  Wow, you are all here.
抱歉伙计 你是希望私下聊吗  Sorry buddy, did you want this call to be private?
不板牙 这样最好不过了  No Mater. This is perfect.
感谢大家…对我不离不弃  Listen, thanks everyone for... for sticking by me.
我花了些时间弄明白 但是  It took me a while to figure it out, but
我知道现在我是时候该做出些改变了  I know now it's time for me to make some changes.
改变 什么样的改变  Changes! What kind of changes?
该做什么就是他的改变  Which feel to do is his change man.
你说对了 辉哥    真的吗  You're right Fillmore    Really?
所以我要宣布一件事情  Which is why I have an announcement to make.
我做了很久的思想斗争  I've thought long and hard about it,
翻来覆去想了很久  done a lot of soul   searching and
考虑了所有的选择  considered all of the options,
最终决定了  and I finally decided,
你真的想继续比赛  You do want to keep racing?
开什么玩笑 我当然想继续比赛  Are you kidding! Of course I want to keep racing.
硬气一秒 等等 我一直都知道  Man for a second..., wait a minute... I knew that the whole time.
伙计们 我要创造新的赛季记录  Guys, I'm talking about making this my best season yet.
我们一直都希望你能这么说  We were hoping you'd say that.
问题就在于我要是想快过风暴  The thing is if I'm gonna be faster than Storm,
我就得接受他那样的训练  I need to train like him.
没问题  We hear you buddy.
闪电 我们希望你能一早 就来赛道  Lightning, we want you on the road first thing in the morning.
这样你就能看到崭新的除锈灵赛车中心了  So you can come out and see the brand new rust  eze racing center.
等等 什么 除锈灵赛车中心  Wait, what! rust  eze racing center?
没错 有所有高级排钟  Yeah, it's got all the fancy bells and
汽笛 孩子们这些天都在训练  whistles that the kids are training on these days.
我们会把导航发给迈克货车  We'll send Mackie boy all the directions,
赶快动身吧 好吗  now get moving, all right?
好  Okay.
当然  Yes.
你也来吧 我们有两组备胎  You too come, we offer two back of the tire.
麦坤 我们可以重头再来  Hey, McQueen we can race in primer man.
走吧  Come on, let's go.
雷蒙 太艺术了  Ramone, you have done it again.
简直就是轮上的西斯廷教堂  It's like the Sistine Chapel on wheels.
等着我吧 风暴  I am coming for you Storm.
欢迎回来 你看上去不一样了  Welcome back, you look different.
当然了  Obviously.
你看起来准备好了  You look ready.
奇诺来了 借过 借过  Guido, come. Excuse me. Excuse me. Coming through.
别带上那些菜鸟  Don't get those rookies in the trunk.
好的 再见  All right, bye.
搞定他们  Go get them tiger.
大伙佛罗里达见  I'll see you guys in Florida.
再见 麦坤  See you McQueen.
别忘了给我们打电话  Don't forget calling.
好运  Good luck in college.
莎莉  Hey Sal,
谢谢  thanks.
随时效劳  Any time.
好运    爱你  Good luck.    Love you.
更爱你  Love you more.
除锈灵赛车中心 我们来了  rust  eze racing center, here we come.
出发了  It's time to head.
除锈灵赛车中心  rust  eze racing center.
麦坤    麦坤  McQueen!    McQueen!
你看到风暴的最新记录了吗  Have you seen the latest record Storm's been setting?
你有考虑过退休吗  Have you given any thought to retirement?
够了 不接受提问 借过  That is enough, no questions, excuse me.
后退 后退  Back off! Back off!
不不不 谢谢你 再见  No, no, no, thank you. B ye bye.
奇诺 难以置信    狗仔 呸  Guido, can you believe them!    Paparazzi..Phew.
看起来不错吧  Looks good, doesn't it?
伙计们  Hey guys.
你觉得怎么样  What do you think?
我觉得怎么样  What do I think?
难以置信  It's unbelievable
也就是个舒适低调的小地方  Yeah, you know it's kind of a cozy humble little place.
伙计们你们是怎么做到的  Guys how did you ever do this?
你告诉他还是  You want to tell him or
我该告诉他吗    你先 你来 你来  should I tell him,    You start.Go ahead. Go ahead.
我们把除锈灵公司卖了  We sold rust  eze
什么  What?
什么 你觉得两个像我们这样的废柴能干成这个  What, do you think a couple of jabronis like us could do this on our own?
你们卖掉了除锈灵？  You sold rust  eze?
有个大好消息  It's all good news
我们明白你需要的东西 是我们给不了的  we just realized that you needed something that we couldn't give you
如果我们正值风华正茂  if I'm right the time was right for us too
我是说我们不如我们的外表那般年轻帅气  I mean we are not as young and handsome as we look
大实话  Oh, that's true.
再说了这个叫斯特林的家伙  Besides this Sterling fellow
他有你所需的高科技东西  he's got every high   tech thing you'll ever need
一切我们想给你但给不了你的东西  everything we wanted to give you but couldn't
斯特林 谁是斯特林  Whoa, whoa, Sterling! Who is Sterling?
闪电麦坤  Lightning McQueen
你干得很认真 搭档  You made some serious time partner
你的新赞助者  your new sponsor
他是东岸的挡泥板之王  he's the mud flap king of the eastern seaboard
欢迎来到除锈灵赛车中心  welcome to the rust  eze racing center
你不知道我有多期待这个  you have no idea how much I've been looking forward to this
谢谢斯特林先生…  thanks Mr...
拜托 不要叫先生了 直接叫我斯特林  Please, no Mr. Just Sterling
我一直都是你的粉丝 能做你的赞助商  I have been a fan of yours forever and to be your sponsor
实在是太棒了  how great is that
简直太感谢锈锈和灰灰了  I can't thank Rusty and Dusty here enough
顺便说下 谈判过程很艰难  tough negotiators by the way
你太恭维我们了 不过请不要停  oh   ho, you flatter us. But don't stop
不管怎样 我只想打个招呼  anyway, I just wanted to say a quick hello
请尽情享受  take as much time as you need
这里的大门随时为你敞开  doors are always open guys
看见没  see!
我肯定会想念为你们赛车的日子  Well, I sure am gonna Miss racing for you guys
知道吗 你给了我们很多回忆 闪电  you know, you gave us a lot of great memories Lightning
我们会永远记住的  memories we'll remember
哇哦 说得真好  wow that's good
你好 闪电  hey Lightning,
不管怎样 别像我兄弟那样开车  whatever you do. Don't drive like my brother
别像我兄弟那样开车  don't drive like my brother
你喜欢这个  so, you like it.
你好 斯特林先生  Oh, hey Mr. Sterling
墙上都是我的职业生涯  my career on a wall.
更棒的是你也没忘了博士  Nice of you included Doc
当然 他是你的导师  well, of course. He was your mentor
失去他是这项运动的一大损失  losing him left a giant hole in the sport
是啊  yeah
泥土罐    神圣的泥土  jars of dirt..    "Sacred" Dirt
每一罐都装有  each of those jars contains
博士在佛罗里达国际赛还有雷暴山谷中  dirt from all the old tracks the Doc raced on
跑道上的泥土  Florida international thunder hollow
就在我们外面的火球海滩路边  just down the road and our very own fireball beach right outside
那是…  hey, is that...
格伦艾伦的一点沥青  Bit of asphalt from Glen Allen
我第一次获胜  my first win
你真的是我的粉丝  you really are a fan
确实 我也是你未来的粉丝  I am and a fan of your future
你准备好了吗  you ready for it
当然  definitely
首先 我们给你来个更现代一点的造型  first let's get you into a more contemporary look.
这是件电子外衣  it's electronic suit
这可以让我们追踪你的速度和生命体征  with it we'll be able to track your speed and your vital signs
有听筒吗  does it have a phone.
别傻了 赛车没有窃听器  Don't be crazy race cars don't have bugs.
不错吧  Wow... not bad ha
太惊人了  this is really impressive
这个中心这么快就变成了  this center has quickly become
年轻赛车手最梦寐以求的地方  the most coveted destination for young Racers
有朝一日能培养出我们自己的赛车队  training to make our team someday
你将在这里训练直到你去佛罗里达  and it's where you'll train until you leave for Florida
跑步机 风洞 虚拟现实  treadmills, wind tunnels, virtual reality
还在研究中  still working on that
还有前所未有的最好的健身团  and the best fitness regiment anyone could possibly imagine
等等  wait! Wait!
那是模拟器吗  Is that a simulator
是的  oh yes.
闪电麦坤 我想向你介绍  Lightning McQueen I'd like to introduce you
价值数百万美元的 旗舰交互赛车模拟器  to the multi   million dollar flagship of interactive race simulation
XDL24超级加强版马克·C  the xdl 24 gts Mark c
XDL  the xdl!
杰克逊·风暴希望他有这个型号  Jackson Storm wishes he had this model
感觉和真的赛道一样  it is just like been on a real track to put your hours in
好吧 让我们的赛道热闹起来  okay, let's hit the track most
来吧 秀秀你们的本领  come on, show me what you got.
好快  Wow fast!
这位赛车手是谁  Who is the racer
不不不 她不是赛车手  no, no, no, no. She's not a racer
她是个训练员 科鲁兹拉米雷兹  she's a trainer. Cruz Ramirez
这行里最棒的训练员  the best trainer in the business
准备好碰面招呼他    打败他  ready to meet it, greet it    and defeat it
好了 调高转速  alright, now bring up those rpm s
我喜欢这劲头  I like the attitude..
我们称她为激励大师  Yeah..We call her a maestro of motivation
你现在又有点紧张了 罗纳德  you're driving a little tense again Ronald
没有 没有 我没事 我没事  no, no, I'm cool. I'm cool
练起来吧  do your exercise
我是蓬蓬云 我是蓬蓬云  I am a fluffy cloud.I am a fluffy cloud.
我是蓬蓬…云  I am a fluffy...cloud
这就对了  Here you go
你是朵云彩  you're a cloud
闭嘴 库尔特  shut up Kurt
困难来咯 库尔特 准备好了吗  here come the bugs Kurt you ready?
我这次没闭眼  Hey, I kept my eyes open this time
得看到赛道才行 不会吧  gotta see that track. Oh, no.
又想家了 伙计  Homesick again people
取得胜利  win for them.
她训练年轻选手来克服他们的障碍  Wow, she trains young Racers to push through their own obstacles
为每个人量身定做  tailor   made for each one
现在 她要训练你了  now, she's gonna work with you
动起来 动起来  let's go let's go
你们这些家伙要练好这些  you guys gotta work through this stuff
这样到手的机会才不会跑掉  so when your big chance comes along you could take
你好 科鲁兹  hey, Cruz.
你好 斯特林先生  Oh, hey Mr. Sterling
我想给你介绍一下  I'd like to introduce you
闪电麦坤  to Lightning McQueen
我听说你是个大师  I hear you're the maestro.
斯特林先生 你刚说闪电麦坤来了  Mr. Sterling, did you say Lightning McQueen was here?
但是我可没看见  Because I don't see him anywhere
可他就在这儿啊  uh, but he's right here
你看不到吗  do you not see him
还是没看到  nope still don't see him
就在你面前  it's right in front of you
这位就是闪电麦坤  it is Lightning McQueen
他明显是个冒牌货  he is obviously an imposter
他看上去又老又破  he looks old and broken   down.
说什么呢  Hey
松弛的轮胎  with flabby tires
才不是  I do not
就是这股劲  use that!
好吧 我知道我能从动机中获取力量  oh yeah, I see I can use that energy from motivation right
动机才是重中之重 麦坤先生  it's all about motivation Mr. McQueen
你能把消极当做燃料 让自己变得积极起来  you can use anything negative as fuel to push through to the positive
我从新手开始就很积极  ah, pretty positive ever since I was a rookie.
能训练你我真的万分激动  I am so excited that I get to train you
我是看着你的电视长大的  I grew up watching you on TV
是这样吗  ha, is that right
这些年轻小伙都很棒  these young guys are great and all
但是我喜欢有挑战性  but I like a challenge
并没什么挑战性  ha ha, not that much over.
事实上 我把你叫作我的高级计划  In fact, I call you my senior project
我们得活动下这把老骨头  we need to loosen those ancient joints
首先 是轮胎 向前  first, the wheels and forward
休息 向前 休息 跟我做 休息  and rest and forward and rest. Join me. Rest
休息  and rest
有必要休息吗  is all these resting necessary
我们慢慢来然后达到你的最佳状态  we will work in you slowly and reach for your ledge
达到你的最佳状态  reach for your ledge
现在 轮胎  now, wheels
向前进  to the front
那是什么 是你的赛道  what is there, its your lines
现在往后  now backwards
那是什么  what is there
我们什么时候上模拟赛道  when do we go in the simulator
早上好 麦坤先生 看起来不错  good morning Mr. McQueen looking good
这是干嘛  why
这样可以把油送到其他不常用的地方  this will get oil to places it hasn't been in a long time
那是集油盘吗  is that a drip pan
以防万一  just in case
你以为我有多老  how old you think I am?
想象自己沿着陡峭的山快速开下去  Visualize yourself driving fast down a steep hill
实战的时候我再回来  I'll be back in the field
想象…等等 等等 科鲁兹  visualize...! Wait! Wait! Cruz
想象什么  I feel what
我向上模拟赛道  I just like go on the simulator
感觉怎么样  how's it hanging
集油盘  drip pan!
第三天了 跑步机  Okay, day three. Treadmill
我设置了最大速来节省你们的能源  I've set maximum speed to conserve your energy
我希望你能想象你要打败这家伙  what I want you to do, is visualize beating this guy.
风暴    没错 超越他  Storm!    Uh   huh that's right get him.
战胜他 麦坤先生  Get him Mr. McQueen.
打败他  Get him
这时速只有五英里  this is only going like five miles an hour
等你午睡后我们会给你加速的  we'll work up to the higher speed right after you take your nap
午睡  nap!
我需要午睡吗  Do I need a nap!
我才不要午睡  I am not taking a nap
午睡还舒服吗 麦坤先生  how was your nap Mr. McQueen?
感觉很提神  It was kind of refreshing actually
这是要干嘛…  oh... okay what do you...Hey
你这些轮胎已经用了很久  you have been driving on tires a long time
你从没想过去了解一下他们  and you never stopped to get to know them
抱歉 你说什么  I'm sorry, what?
