霍顿与无名氏
耶!  Yeah!
或许也会认同刻薄的袋鼠妈妈  may find they agree with that sour Kangaroo.
认为不可能有跟虱子一样小的人  '"There can't really be people as small as a mite. '"
或许有可能…真的有…因为霍顿说对了  Well, there can, and there are,because Horton was right.
哈啰!  Hello!
这一声“哈啰”一路传下来  That single '"hello'" traveled all the way down
进入灰尘，穿过了云层 直到传到了这座小镇  to the speck, through the clouds,until it found a small town.
这里叫呼呼镇，呼呼族就住这  A town known as Whoville,for there lived the Whos,
平安快乐过活，只知道好消息  feeling happy and safe,knowing only good news,
不知道自己的世界只是一粒灰尘  unaware that their world was a speck on a clover,
也没发现快乐的生活正面临危险  unaware that the sweet life they knew might be over.
跳过! 钻过!  Over! Under!
呼呼镇的镇长名叫麦克当奈德  The Mayor of Whoville,a man named McDodd,
做事认真又正直，只是有点无厘头  was devoted and fair and a little bit odd.
镇长夫妇有一群孩子要照顾  The Mayor and his wife,they had children to spare,
九十六个女儿 有些坐在这里、有些坐在那里  96 daughters, some here and some there.
有九十六个女儿要爱 有九十六个女儿要教  96 girls to love, 96 girls to teach,
不过镇长只能给每个女儿几秒钟  but the Mayor had only a few seconds for each.
爸爸!我呼呼族历史考试满分  Daddy, I got better than best on my Who  story test.
呼呼族历史，我最熟了  Who  story. I remember it well.
真是我的好女儿  That's one of my girls.
海达偷用我的梳子! 荷莉才偷用我的梳子!  Hildy's been using my hairbrush! Holly's been using my hairbrush!
快看那边!  Look! Over there!
好多了  There. All better.
能帮我买一支呼呼手机吗？我们班上每一个同学都有  Can I please have a Who  phone, Dad? Everyone else in my class has one.
是吗？每个都有？  Oh, really? Everyone?
我会好好考虑的  I will think about it.
爸，快看!爸，快看!  Daddy, look! Daddy, look!
牙“此”  Toof.
是牙“齿”，亲爱的，要卷舌  It's a "T  H", sweetheart. It's "tooth."
呼呼族的传统，和你我的不同  In Whoville tradition, unlike yours or mine,
他们镇长的职位由长子代代相传  the Mayor's oldest is next in the Mayoral line.
谁是长子？接下这家的棒子？  And who was the oldest? To lead and stand tall?
乔乔，他儿子，最矮小的一个  It was JoJo, his son,the smallest Who of all.
说吧，乔乔，你今天好不好？发生了什么事？有什么新闻？  So, JoJo, what's shaking? What's happening? What's the word?
相信现在你我都非常清楚  Now, to you or to me, it's abundantly clear
乔乔根本不想接他父亲的职务  that JoJo did not want his father's career.
只见镇长一厢情愿的构思计划  But the Mayor pressed forward,completely deluded,
乔乔却若有所思的坐在那里  while JoJo just sat there in silence and brooded.
乔乔!  Oh, JoJo!
为什么他的时间比较长？不公平  Hey, why does he get more time? That's not fair.
儿子!  Son! Hey!
他为什么不说话呢？  And why didn't he speak?
我想他是怕说了会让他爸难过  Well, I think that the lad was afraid if he did, he might let down his dad.
你知道什么最正点吗？  You know what's awesome?
这些就很正点  This is awesome.
看看这些墙壁上的祖先肖像  Just look at the men and women hanging on these walls.
你，乖儿子 你是百年家族杰出菁英的一份子  You, my boy, are part of a family legacy that spans centuries.
知道吗？你爷爷曾是呼呼镇镇长  You know what? Your grandfather was Mayor of Whoville,
还有你的曾曾祖母，没有错  and your great  grandmother, that's right,
现在来看看这一路  all the way down to your
伟大的…伟大的…伟大的…没那么伟大的  great  great  great  great  not  so  great
伟大的…伟大的…伟大的 曾曾曾…  great  great  great  great  great  great  great  great  great  great
祖父  grandfather.
我希望有一天能加入他们  Someday I hope to join them.
成为家族的伟大菁英之一  Be one of the greats.
我告诉你，乔乔 没有比当镇长更赞的了  I tell you, JoJo, there is nothing like being Mayor.
镇长能签署决议案 批准法条、核准预算  I get to sign resolutions,approve ordinances, submit budgets,
而且在美食嘉年华会上 超级大肉丸上坐的一定是镇长  and in the Edible Parade, I'm the one sitting on top of the giant meatball.
有一天坐在上面的也会是你  Someday, that can be you, too, JoJo.
有一天你也会别上镇长徽章  Someday you'll be the one wearing the Mayoral Crest.
你只要…你只需要…  You just... You just need to...
你懂我的意思吗？  You know what I mean?
好吧，聊天愉快  Okay. Good chat.
我很高兴我们谈了这么多  I'm glad that we had this talk
接下来我就讲给自己听吧，也好  that I'm continuing now by myself. Good.
好了，很舒服吧  There. That ought to be comfy.
不要放在心上，摩登 一点也不用担心  Nothing wrong with this, Morton.Nothing wrong with this.
只有你我和小灰尘，一起聊天  Just you, me and the speck,shooting the breeze.
我们同国的 高兴的话，还可以办个公投  We're a club. We're a group.We can take a vote on the issues.
也能搞秘密组织，维护世界和平  We can be a secret society that controls the balance of power in the world.
霍顿 谁都不能加入  Horton. And no one else can join,
除非他头戴怪帽  unless they wear funny hats.
霍顿，听好!  Listen, Horton!
我的兄弟摩登是当然会员  The Chair recognizes Brother Morton.
我很高兴你找到这个小灰尘  I am really happy you found this speck and all,
不过你最好不要让别人知道此事  but you might want to think about keeping it to yourself.
什么？为什么？  What? Why?
因为你对着一支花讲话 正常人不会这样  Well, you're talking to a clover.That doesn't look good.
你知道有问题的是谁？  You know what doesn't look good?
你的口气好像这灰尘完全不存在  You talking about the speck like the speck isn't even there.
人家可没有在你背后说你坏话  The speck never said anything bad about you.
不过这显现了你的幻想力很强  But, hey! Good luck with your illusion of superiority.
它爱怎么想我随便它 它只是一粒灰尘  You know, the speck can think anything it wants about me. It's a speck.
我知道你在不爽什么了  I see what's going on here.
摩登，不管我和这粒灰尘多要好  Morton, no matter how tight the speck and I get,
它永远也取代不了你  the speck could never replace you.
我以为我不用解释你就会明白  I'm only sad that I would have to explain that, at this point.
你真够朋友，霍顿 谢谢你的安慰  Well, that's awesome, Horton.That really helps.
别把秘密告诉别人  Just try to keep this to yourself.
待会儿见吧，别乱说话  I'll see you later. Try.
霍顿，你手上拿的是什么？  Hey, Horton! What you got there?
什么？哪有？  What? Nothing!
我们什么也没做啊!  We're not doing anything.
我们没有…根本没人？“我们”是谁？  We're totally alone. Who's "we"?
什么？我们？我刚有说吗？  "We"? What? "We"? Did I say that? I just... Oh.
没，那样说就代表我和谁在一起  No, I would never say that,because that would imply that
不是只有一个人  I was with someone, and not alone.
我说真的，这绝对不能说出去  Okay, seriously, you can't tell anybody.I mean it.
要是这秘密被人发现事情会变得非常非常糟  If anybody finds out about this,it could be very, very bad.
我也不大明白是为什么  I'm not sure why.
我们绝对不会说  We won't tell anyone.
要是我们说了 我们也会叫他们不要跟别人说  And if we do,we'll tell them not to tell anyone.
太好了  Perfect!
好，我本来正在洗澡  Okay, I'm taking a bath, right,
因为我的肤质偏干…  'cause my skin gets kind of dry and a little bit ashy.
当霍顿详细说明他如何找到灰尘  While Horton came clean about the speck that he'd found
与如何拯救它免于被淹没命运时  and how he had saved it when it nearly drowned,
镇长也正好准备出发去上班  the Mayor set off on his morning commute
虽然他发现好像有点怪怪的  and noticed things weren't quite the same on his route.
但是请别怪罪霍顿 他根本不知道，上面一个小碰撞…  But please don't blame Horton, for he didn't know that a small bump above...
…我就往水里跳下去  ...and I dove in the water like this!
…会造成下面的大地震  ...was a big bump below.
阿乔，不要太拼命了  Hey, Joe, don't work too hard.
豪华地宝又不会自己盖好  These luxury condos,they don't build themselves.
真的假的!它自己盖好了耶!  Hey, look at that!I guess they do build themselves.
好吧，那也没什么  Okay, that happened.
镇长知道他负责的工作 就是要报告每天发现的异状  Now, the Mayor knew it was his job to convey the unusual things
不过问题是  that he'd noticed that day,but there was one problem.
虽然他有强烈预感…  Though his will was strong...
你迟到了  麻烦你了，叶波小姐  You're late. Thank you, Miss Yelp.
…但是呼呼镇看来一切都很正常  ...nothing in Whoville had ever gone wrong.
该有的我们都有  We have all that we need.We need all that we've got.
我们都爱呼呼镇，住了不想走  We like it in Whoville. We like it a lot!
大家都忙着准备 呼呼镇即将到来的百年庆  We're all very busy with the Who  Centennial coming up,
所以请遵照会议程序进行  so let's bring this meeting to order.
镇长先生，我想你有好消息要说  Mr. Mayor, I presume you have some good news for us.
好消息
是有个消息啦  Well, it's news.
我不知道这件事情 到底算是好消息还是坏消息  I don't know if we need to go labeling it "good" or "bad" or anything like that.
事情就是…我发现镇上出现了一些怪现象  The thing is, I have noticed some odd goings  on in Whoville lately.
是好的怪现象吗？  Good "odd goings  on"?
这个嘛…地震、天上旋转的云  Well, you know, tremors,clouds swirling in the sky.
在我看来，为了安全起见  And it seems to me, just to be safe,
也许可以考虑延后呼呼镇百年庆  we might want to consider postponing the Who  Centennial.
考虑什么？  Consider what?
腌后虎虎百年青  Postponing the Who  Centennial.
什么？腌后虎虎百年青
大声一点!  What? Speak up, man!
延后呼呼镇百年庆!可以吗？  Postponing the Who  Centennial! All right?
全体镇民正忙着庆祝 呼呼镇百年来幸福和谐的日子  We are about to celebrate 100 years of Whoville happiness and harmony,
而你竟然想延后这场活动？  and you want to postpone the celebration?
要是呼呼镇不安全呢？  Well, what if Whoville's not safe?
呼呼镇从来没有出过差错  Nothing ever goes wrong in Whoville,
从前没有，未来也不会有 你这个乱七八糟的笨蛋  never has and never will,you blathering boob!
呼呼镇百年庆照计划进行  The Who  Centennial will proceed as planned!
镇长只是一时短路秀逗  The Mayor was merely being an idiot.
从现在起请记得笑口常开  It will be all smiles from now on.
噢!噢!会痛!  That hurt!
小姐，我的点阅率早破百万了  Girl, I got 15,000 friends already.
什么叫照片不像？  What? What do you mean,it don't look like me?
那照片绝对是我! 十年前的我，等等，你先别挂  That looks just like me 10 years ago.Wait a minute. Hold on for a second.
居然说我是笨蛋，我才不是笨蛋  Treats me like an idiot. I am not an idiot.
我看起来像笨蛋吗？  Do I look like an idiot?
你不会想听到答案的 我不是笨蛋  You don't want me to answer that.I am not an idiot.
竟敢叫我笨蛋？我不会骂人是笨蛋  Has the nerve to call me a boob? I would never call somebody a boob.
他才是笨蛋，你看看你  He's a boob! Look at you.
恶心!  Yuck!
看到你那张脸  Look at your face.
我让你尝尝被叮满头包的滋味  And I bet you don't look so good with a stapler in your head!
哗!哗  Whoa! Whoa.
谢了，叶波小姐 别客气  Thank you, Miss Yelp. You're welcome.
哈啰？  Hello?
走开!不然我揍扁你!  Who said that? Back off! I'll punch you!
哈啰？  Hello?
哈啰  Hello.
你是谁啊？  Who's there?
我是镇长  This is the Mayor.
镇长？镇长!  The Mayor? The Mayor!
我在跟镇长说话耶!  I'm talking to the Mayor!
我就知道 我就知道有人住在这粒灰尘里  I knew it. I knew it. I knew it.I knew there was life on this speck.
灰尘？什么灰尘啊？  "This speck"? What speck?
我不大知道该怎么告诉你，但是…  Well, I don't exactly know how to tell you this, but...
你住在一粒灰尘里  You're living on a speck.
不是我想吐你槽啦! 排水管里的老兄  Well, I hate to disagree with you,O voice from the drainpipe,
但是我住在呼呼镇  but I live in Whoville.
那呼呼镇就是一粒灰尘  Well, then, Whoville's a speck.
才怪  Right.
不要闹了，你到底是谁？  Okay, seriously, who is this?
你是会计部的伯特？  Is this Burt from accounting?
错，我叫霍顿，我是只大象  No. This is Horton. I'm an elephant.
好吧，霍顿  Okay, "Horton."
真爱演，你在哪啊？  Fake name. Where are you?
从你站的位置来看 我猜我是…在天空上吧？  Well, from where you're standing,I guess I'm in the sky.
跟你比起来，我超大的  Compared to you, I'm enormous.
不过我已经瘦了很多  Which is saying something,because I've slimmed down quite a bit.
我游泳  I swim.
你的世界就在我们的一朵花上  Your whole world fits on a flower in my world.
伯特，你讲的冷笑话比我还冷  Oh, man, this is even pushing it for you, Burt.
看我把你放在阴影下会怎样？  Don't believe me? Watch what happens when I put you in the shade.
根本就不会怎样…  This is absolutely impossible...
天黑  Dark.
天亮  Light.
天黑  Dark.
天亮、天黑、天亮、天黑  Light. Dark, light, dark, light,dark, light, dark.
天亮  Light!
看到没？  Don't you see?
我们在神奇的机缘巧合中相遇  We're in the middle of some kind of amazing cosmic convergence.
两个完全不同的世界 出乎意料交会在一起  Two vastly different worlds,miraculously crossing paths!
我这边有够大，你那边有够小  Mine, colossal! Yours, miniscule.
而我们居然能搭上线  Yet somehow we've managed to make contact.
仔细想想，这真的很神奇  If you think about it, it's pretty amazing.
你们那边都没事吧？  Is everything okay down there?
你说咧？我们的世界在你手上!  I don't know. You tell me.You're the one holding the speck.
你们的世界在我手上  I'm the one holding the speck.
你们的世界在我手上  I'm the one holding the speck.
你不用担心，镇长先生  Don't you worry, Mr. Mayor.
先等我一下  Hold, please!
这是怎么回事？镇长一头雾水  What did all of this mean?The Mayor hadn't a clue.
所以他跑进拉鲁博士的办公室 她是呼呼大学里最聪明的博士  So he ran to the office of Dr. Larue,the brainiest brain on the staff at Who U.
拉鲁博士!  Dr. Larue!
我大概是疯了  This is crazy.
镇长先生  Mr. Mayor.
有什么需要我服务吗？  How may I be of assistance?
我不知道，我想问你一件事  I don't know. Hey, you know,I was just wondering
如果我们的世界 是一粒飘在空中的小灰尘  if our world were, say, a tiny speck floating through space,
我们怎么知道？  how would we know?
为什么你会问这种问题？  Well, why would you ask something like that?
没事，我都忘记我问什么了  No reason. No reason at all.I don't even remember.
对，我是问了  Yes, I do. You know what?
其实是有人告诉我的  Some guy was talking to me.
不是什么天空里的大象，是邻居  Not an elephant in the sky.A guy on the ground.
本来就有成千上万种可能  There would be several ramifications.
是好的“可能”吗？  Good ramifications?
一粒小灰尘？  A tiny speck?
对，小灰尘  Yeah. Tiny speck.
飘来飘去  Floating around.
最近是有一些无预警的地震 气候上也有不寻常的变化  Well, we'd have inexplicable tremors,dramatic changes in the weather,
如果我们没办法稳定这个世界  and if we didn't eventually achieve some sort of stability,
我们可能就会面临…世界末日!  our world would be destroyed!
世界末日？世界末日  Destroyed? Destroyed. Oh, destroyed.
霍顿!  Horton!
不，我是…阿宝  No, this is Benny.
霍顿他现在正在忙  Horton is busy right now.
开玩笑的啦!  No. I'm joking.
我在这  That's me.
我们完了  We're doomed.
霍顿，我想我需要你帮点小忙  Listen, Horton, turns out I need your help a little bit.
很明显地，要是这粒小灰尘乱飞  Apparently, if that speck keeps moving around,
我们的世界可能就会毁灭  our whole world could be obliterated.
所以我需要你帮我们找一个 更安全更稳定的新家  So I need you to find us Whos a safer, more stable home,
要快  and fast.
没问题，镇长先生，我看看…  No problem, Mr. Mayor. Let's see...
那里视野真好  Wow, that's a nice view.
一切都没问题吧？  Hello. Is everything okay?
上面怎么了？  What's going on up there?
这里简直是生死一瞬间现场版!  This entire jungle is a house of death!
等等，那里看来不错  Oh, wait. There's a good spot.
就在此时，霍顿看到努尔山顶  And it's then Horton saw at the top of Mount Nool,
有个看来宁静祥和又酷的小山洞  a small cave that looked peaceful and quiet and cool,
一朵向日葵高高盛开在洞穴里  where a sunflower grew proud and tall from the ground.
他知道呼呼族到了那里 绝对会平安无事  There, he knew every Who would be safe,would be sound.
我找到了，镇长，最完美的地点  I found it, Mayor. The perfect place.
就在那上面  Right up there,
那座山顶上 镇长先生  on the top of Mount Nool. Mr. Mayor?
我希望你能…  I wish you could...
亮晶晶  Shiny.
呼呼镇百年庆委员会正在等你  The Who  Centennial Committee is waiting for you
勘验美食游行要用的超级肉丸  to look over the giant meatball for the Edible Parade.
接着你要找牙医做呼呼根管治疗  And then you're due at the dentist for your Who  root canal.
在根管治疗前加上呼呼的名号 治疗时并不会比较舒服  You know, sticking "Who" in front of everything doesn't make it hurt less.
那是浪费时间  Just wastes time!
我才不要去  I don't want to go.
霍顿，我先走了  Listen, Horton, I've gotta go.
我得先去处理那颗超级大肉丸  Apparently, there's a problem with the giant meatball.
您尽管去处理那颗肉丸吧 这件特殊的任务就交给我  You just take care of that meatball, sir,and leave the freaking out to me.
霍顿展开危机重重的长途旅程  So then Horton began his long, perilous trek,
他决心拯救灰尘上的小小世界  determined to save the small world on the speck.
霍顿抱着坚定信念与仁慈的心  Horton was faithful and stalwart and kind.
我抓好你了  I got you.
他是无惧的勇士…  He was a brave hero...
我会保护你  I'll protect you!
…至少他心里是这么想的  ...at least in his mind.
我们得小心谨慎，悄悄的前进  We must become invisible. Travel silently.
因为敌人搞不好正要暗算我们  For there are forces that would seek to destroy us.
(尖叫)
你以为你偷袭得了我？  So you think you can sneak up on me, huh?
显然你的功夫跟我差远了  It is clear that you are no match for my technique.
(痛)
你还真会用暗器来偷袭啊 看我的前空翻!  I see you have mastered the way of the snapping branch. Watch me tumble!
飞天鼠摩登!  Morton Mouse, go!
霍顿，真俐落 可是袋鼠妈妈有猴子军团  You are fast, Horton,but the Kangaroo has monkeys.
我会好好教训这群臭猴子 这是我们的使命  I will make monkeys of these monkeys.It is their destiny.
象派气功!  More clover!
霍顿是全世界最伟大的英雄!  Horton is the greatest hero of them all!
霍顿!  摩登!  Horton!   Morton!
上!  Go!
但是努尔山在那边  But Mount Nool is that way.
朝努尔山顶前进!快如闪 电!  To the top of Mount Nool!As fast as lightning! Away, I go.
抱歉，小家伙  Sorry, little fellow.
你不会有事的 只要专心冥想自己恢复健康  You'll be fine. Just think healing thoughts.
霍顿!霍顿!  霍顿!你看，你看!  Horton! Look! Horton! Look, look, look!
我们全都有载着小世界的苜蓿花  We've all got our own clovers with worlds on them!
对  Yeah.
我的小世界里，全部都是迷你马  In my world, everyone's a pony,
他们都吃彩虹，然后便便是蝴蝶  and they all eat rainbows and poop butterflies.
那真是太赞了，凯蒂  That's beautiful, Katie.
虽然有点怪怪的  In a really weird way.
我的世界叫洁西卡王国 大家都超崇拜洁西卡女王  My world is called Jessica  land,and everyone worships Queen Jessica
因为洁西卡很漂亮  because Jessica is so beautiful.
洁西卡，那听起来棒呆了  Jessica, that was awesome.
路迪! 小心点!  Rudy! Mom, be careful!
我好朋友席克住那上面  My best friend Thidwick lives on that.
路迪，没人住在这上面 这是不可能的  Rudy, no one lives on this.It's not possible.
那个霍顿真可恶  That Horton is a menace.
妈!拜托，别这样  Mom, Mom! Please, you're so weird.Don't do this to me.
给我进房去  Honey, go to your room.
霍顿!  Horton!
射门得分!  It's good!
你到底在干嘛？  What do you think you're doing?
你们有大麻烦了!  You guys with worlds are in trouble!
你忘了我们之前讨论过什么？记得，我是大象  Have you forgotten what we discussed? Oh no I'm an elephant
大象从不忘记，这是个诅咒!  and elephants never forget.It's a curse, really.
我记得你哼了一声  I remember I was on my head,and you said "Humpf,"
我抬头看你，然后你说“你到底在干麻？”  and I looked up, and you said,"What are you doing?"
我说了灰尘的事  And I said the thing about the speck.
你拉我耳朵，又戳我的额头…  Then you pulled my ears and you poked me in the forehead...
霍顿!没错，你动手了  Horton! Well, you did.
把那朵苜蓿花给我，马上给!  Give me that clover, Horton. Now!
不要  No.
不要？  No?
对  Yeah.
你确定你要跟我作对？  Are you sure you want to fight this fight, Horton?
我可以跟你保证 到时候场面一定很难看  Because I promise you it will get very ugly, very fast.
没多久你就会开始问自己  And you need to ask yourself,
我干嘛要把自己搞成这样？  "Do I really want to put myself through all this?
“就为了一朵苜蓿花？”  "For a clover?"
注意听我说，霍顿  Take it from me, Horton.
你没注意听  You don't.
快把它交出来!  So hand it over!
不要!我不能把它给你  No! I can't give it to you.
这粒灰尘上有住人  There are people on this speck.
虽然他们个子非常小  Granted, they're very small people,
但万物生而平等 不论他们有多渺小  but a person's a person,no matter how small.
你太离谱了，霍顿 我会让你付出代价的  You just crossed the line, Horton,and I'm gonna make you pay.
那个霍顿太危险了  That Horton is a menace.
他害这群孩子整天胡思乱想  He has those kids using their imaginations.
太可恶了  It's sick.
好吧!我得快点把这粒灰尘 放到山顶去，要“快马加鞭”  All right, I gotta get this speck up to the top of Mount Nool, ASAP,
虽然我不是马 但人家说飞象也能过河  whatever that means. Probably,"Act Swiftly, Awesome Pachyderm."
那有什么困难的？  I mean, how hard can that be?
只不过是条…保证摔死大象的桥  It's just a straight plummet to certain death.
这看起来有点…不太坚固  This looks kind of precarious.
先不要吓自己  Well, no need to worry.
他们当初建这条桥的时候  Obviously, when they build a bridge like this,
一定有想过有一天会有大象走过  they take into account that elephants will be crossing here.
很好，还不错 我就稍微给它…试试看!  All right. Feels good.I'll just get the feel of it!
勇气
没错  That's true.
噢，天啊  Oh, God.
你好，今天好吗，镇长先生？  Hello. And how are we today, Mr. Mayor?
说：“啊”  Say, "Ah."
请漱漱口  Rinse, please.
这里有些木板也早该换了吧  I think a few of these boards could stand to be replaced.
我要想像我很轻 我轻得像…羽毛  I just need to think light.I'm light as a feather.
轻飘飘的…羽毛!  I'm light as a feather!
好重的羽毛  Heavy feather.
这针只会有一点点痛  Okay, this will just pinch a little.
我得比羽毛还轻 有什么比羽毛还轻？  I'm lighter than a feather.What's lighter than a feather?
空气!没有比它轻的了 所以这就表示  Air! There's nothing lighter.So it stands to reason
只要我吸入愈多空气  that the more air I have,
我就能…变更轻  the lighter I'll be.
下一位，请进  Next, please.
真是吓死人了  All right, that was absolutely terrifying.
现在我得把自已拉上去  If I just pull myself up!
不要太紧张  Try not to panic.
刚刚差一点就锉起来  That could've been a disaster.
“脚踏实地”的感觉还真棒 让我有股想跳舞的冲动  Wow. I feel really good right now.Maybe it's my new sense of purpose.
没事了  All right.
乔乔!我需要你帮忙，有空吗？  Hey, JoJo! I need your help.Can you help me?
很好 首先，你先去姐妹们的房间  Okay, great. Okay.First, I need you to go to the girls' room.
把汉娜的陶瓷娃娃拿下来  Take down Hanna's china doll collection and then...
别盯着我的手看  Stop looking at my arm.
再把荷莉蒐集的灯泡收好  Put away Holly's light bulb collection,and then...
把容易坏或容易碎的东西全收好  You know what? Just take care of anything that might break or shatter.
好吧，我就让你一次看个够  Okay, take a good long look.
看够了吧？谢啦!儿子  Got it? Thanks, JoJo!
这些…还有那个…  Here. And... Take that. And...
老公，今天比较晚喔  Hi. You're home late.
抱歉老婆，我刚是去牙医那里 处理我的…手  Sorry, hon. I was just having some dental work done on my arm.
发生什么…  So, what was...
奈德!  Ned!
你在做什么？  What are you doing?
